n,p,n_steps,time,bottom_reached
1,0.01,1,0.00038413,0
9,0.01,2,0.000824489,0
1,0.02,1,1.27628e-05,0
5,0.01,1,0.00109803,0
1,0.03,1,0.000212807,0
1,0.04,1,2.12081e-05,0
1,0.05,1,1.71997e-05,0
5,0.02,1,0.000120427,0
1,0.06,2,0.000112075,1
1,0.07,1,2.10218e-05,0
1,0.08,1,7.41333e-07,0
1,0.09,2,2.00011e-05,1
1,0.1,1,9.42498e-07,0
1,0.11,1,1.35824e-05,0
1,0.12,1,2.04705e-05,0
1,0.13,1,1.131e-05,0
1,0.14,1,1.55307e-05,0
1,0.15,1,3.15085e-05,0
1,0.16,2,9.23872e-07,1
1,0.17,1,4.80562e-07,0
5,0.03,1,0.00029704,0
1,0.18,1,7.47591e-05,0
1,0.19,1,3.68468e-05,0
1,0.2,2,1.06171e-06,1
1,0.21,1,5.02914e-07,0
1,0.22,2,1.46218e-05,1
1,0.23,2,1.9677e-05,1
5,0.04,2,9.87314e-05,0
1,0.24,1,2.98023e-05,0
1,0.25,1,1.00583e-06,0
9,0.02,2,0.000724085,0
1,0.26,1,9.49576e-06,0
1,0.27,2,1.24983e-05,1
1,0.28,2,2.32905e-05,1
13,0.01,1,0.00169952,0
1,0.29,1,1.91666e-05,0
1,0.3,1,2.67848e-05,0
1,0.31,2,5.58794e-07,1
1,0.32,2,4.00767e-05,1
1,0.33,1,2.0463e-05,0
1,0.34,1,2.02134e-05,0
1,0.35,1,4.99189e-07,0
1,0.36,1,4.20958e-07,0
1,0.37,2,1.03749e-05,1
1,0.38,2,3.39039e-05,1
5,0.05,1,0.00028931,0
1,0.39,1,6.39372e-05,0
1,0.4,1,3.04766e-05,0
1,0.41,2,7.91773e-05,1
1,0.42,1,1.61305e-05,0
1,0.43,1,2.56896e-05,0
1,0.44,1,7.6741e-07,0
1,0.45,1,2.04667e-05,0
9,0.03,1,0.000480097,0
1,0.46,2,1.55382e-05,1
1,0.47,2,1.9934e-05,1
5,0.06,1,0.000255201,0
1,0.48,1,1.04606e-05,0
1,0.49,2,8.00937e-07,1
1,0.5,1,5.84871e-07,0
1,0.51,2,5.05857e-05,1
1,0.52,1,3.86275e-05,0
1,0.53,2,1.29081e-05,1
1,0.54,1,1.42157e-05,0
1,0.55,1,2.4423e-05,0
1,0.56,2,5.43818e-05,1
5,0.07,2,0.000222728,0
1,0.57,2,3.22834e-05,1
