n,p,n_steps,time,bottom_reached
100,0.01,2,0.0202146,0
100,0.02,2,0.0174478,0
100,0.03,2,0.018421,0
200,0.01,2,0.0654958,0
100,0.04,2,0.0179931,0
100,0.05,2,0.0188239,0
100,0.06,2,0.0176611,0
100,0.07,3,0.0178777,0
200,0.02,2,0.0665133,0
300,0.01,2,0.145895,0
100,0.08,3,0.0178915,0
100,0.09,4,0.0183934,0
100,0.1,2,0.0181846,0
200,0.03,2,0.0640643,0
100,0.11,4,0.0181274,0
100,0.12,3,0.019382,0
100,0.13,2,0.0194074,0
400,0.01,2,0.255616,0
200,0.04,2,0.0608357,0
100,0.14,5,0.0173837,0
100,0.15,4,0.0176232,0
300,0.02,2,0.141799,0
100,0.16,5,0.0186495,0
100,0.17,5,0.0188245,0
200,0.05,2,0.0642665,0
100,0.18,3,0.0182974,0
100,0.19,4,0.01827,0
100,0.2,5,0.0174804,0
500,0.01,2,0.383319,0
100,0.21,5,0.0194797,0
200,0.06,3,0.0672294,0
100,0.22,3,0.0195871,0
100,0.23,4,0.0185938,0
300,0.03,3,0.143203,0
100,0.24,6,0.0188772,0
200,0.07,2,0.0580708,0
100,0.25,4,0.0197945,0
100,0.26,6,0.0167987,0
400,0.02,2,0.242146,0
100,0.27,5,0.0191863,0
200,0.08,5,0.0594708,0
100,0.28,16,0.0202122,0
100,0.29,6,0.0187718,0
100,0.3,7,0.018485,0
600,0.01,2,0.565668,0
200,0.09,3,0.0597399,0
100,0.31,8,0.017695,0
300,0.04,3,0.145257,0
100,0.32,8,0.0196,0
100,0.33,5,0.0198067,0
200,0.1,2,0.0613096,0
100,0.34,9,0.0198376,0
100,0.35,5,0.0184553,0
100,0.36,12,0.0186849,0
100,0.37,11,0.0194184,0
200,0.11,4,0.0633556,0
100,0.38,6,0.0190279,0
300,0.05,3,0.135163,0
100,0.39,14,0.0191077,0
400,0.03,3,0.235625,0
100,0.4,15,0.0191411,0
200,0.12,4,0.0647205,0
700,0.01,2,0.755309,0
100,0.41,11,0.0190001,0
500,0.02,3,0.384622,0
100,0.42,12,0.0190985,0
100,0.43,12,0.0206226,0
200,0.13,3,0.0625635,0
100,0.44,13,0.0191037,0
100,0.45,27,0.0210447,0
300,0.06,3,0.137859,0
100,0.46,26,0.0207515,0
200,0.14,4,0.0622819,0
100,0.47,14,0.0194929,0
100,0.48,25,0.0216209,0
100,0.49,15,0.0202741,0
200,0.15,8,0.0629558,0
100,0.5,25,0.0194151,0
100,0.51,27,0.0199303,0
400,0.04,2,0.24004,0
800,0.01,2,0.981597,0
300,0.07,3,0.1341,0
100,0.52,31,0.0196876,0
200,0.16,3,0.0629682,0
100,0.53,25,0.0210546,0
100,0.54,102,0.0239223,0
100,0.55,27,0.0208151,0
200,0.17,4,0.0625593,0
100,0.56,116,0.0246547,0
100,0.57,60,0.0233655,0
600,0.02,3,0.539371,0
300,0.08,4,0.135493,0
100,0.58,113,0.0255741,0
200,0.18,4,0.0643438,0
500,0.03,2,0.371746,0
100,0.59,206,0.0264885,1
100,0.6,182,0.026317,1
900,0.01,3,1.19204,0
200,0.19,5,0.060069,0
400,0.05,2,0.236535,0
100,0.61,276,0.0322247,1
100,0.62,192,0.0259841,1
300,0.09,3,0.136747,0
200,0.2,8,0.0631273,0
