n,p,n_steps,time,bottom_reached,n_threads
1,0.1,2,0.00999999,1,1
1,0.2,1,0.00500011,0,1
1,0.3,2,0.00999999,1,1
1,0.4,1,0.00600004,0,1
1,0.5,1,0.00399995,0,1
1,0.6,2,0.0109999,1,1
1,0.7,2,0.00999999,1,1
1,0.8,1,0.00600004,0,1
1,0.9,2,0.00999999,1,1
1,1,2,0.0109999,1,1
2,0.1,1,0.00500011,0,1
2,0.2,2,0.00999999,0,1
2,0.3,2,0.0120001,0,1
2,0.4,3,0.0149999,1,1
2,0.5,1,0.00500011,0,1
2,0.6,4,0.0209999,1,1
2,0.7,2,0.0109999,0,1
2,0.8,3,0.0150001,1,1
2,0.9,1,0.00600004,0,1
2,1,3,0.0149999,1,1
3,0.1,1,0.00699997,0,1
3,0.2,4,0.0200002,0,1
3,0.3,1,0.00499988,0,1
3,0.4,2,0.00999999,0,1
3,0.5,2,0.00999999,0,1
3,0.6,4,0.0210001,1,1
3,0.7,4,0.0219998,1,1
3,0.8,5,0.0250001,1,1
3,0.9,4,0.0219998,1,1
3,1,4,0.0220001,1,1
4,0.1,1,0.00399995,0,1
4,0.2,2,0.0110002,0,1
4,0.3,2,0.00999999,0,1
4,0.4,2,0.00900006,0,1
4,0.5,2,0.0109999,0,1
4,0.6,5,0.0279999,0,1
4,0.7,6,0.03,1,1
4,0.8,6,0.0339999,1,1
4,0.9,5,0.029,1,1
4,1,5,0.027,1,1
5,0.1,2,0.00900006,0,1
5,0.2,2,0.0109999,0,1
5,0.3,4,0.0210001,0,1
5,0.4,5,0.0279999,0,1
5,0.5,7,0.0410001,0,1
5,0.6,9,0.0519998,1,1
5,0.7,9,0.056,1,1
5,0.8,8,0.052,1,1
5,0.9,7,0.039,1,1
5,1,6,0.033,1,1
6,0.1,1,0.00399995,0,1
6,0.2,3,0.0190001,0,1
6,0.3,2,0.0120001,0,1
6,0.4,2,0.0119998,0,1
6,0.5,4,0.023,0,1
6,0.6,7,0.043,0,1
6,0.7,12,0.072,1,1
6,0.8,9,0.0500002,1,1
6,0.9,10,0.056,1,1
6,1,7,0.0369999,1,1
7,0.1,1,0.00600004,0,1
7,0.2,2,0.00999999,0,1
7,0.3,4,0.023,0,1
7,0.4,6,0.039,0,1
7,0.5,4,0.0239999,0,1
7,0.6,14,0.0740001,1,1
7,0.7,4,0.0209999,0,1
7,0.8,11,0.0550001,1,1
7,0.9,9,0.046,1,1
7,1,8,0.0410001,1,1
8,0.1,1,0.00499988,0,1
8,0.2,2,0.00999999,0,1
8,0.3,2,0.0109999,0,1
8,0.4,4,0.0210001,0,1
8,0.5,5,0.0249999,0,1
8,0.6,15,0.0780001,1,1
8,0.7,13,0.069,1,1
8,0.8,10,0.053,1,1
8,0.9,10,0.0550001,1,1
8,1,9,0.046,1,1
9,0.1,1,0.00600004,0,1
9,0.2,2,0.0079999,0,1
9,0.3,2,0.0120001,0,1
9,0.4,2,0.00900006,0,1
9,0.5,17,0.0869999,1,1
9,0.6,12,0.063,0,1
9,0.7,13,0.0640001,1,1
9,0.8,11,0.056,1,1
9,0.9,12,0.0609999,1,1
9,1,10,0.0510001,1,1
10,0.1,2,0.00999999,0,1
10,0.2,2,0.00999999,0,1
10,0.3,4,0.0209999,0,1
10,0.4,5,0.026,0,1
10,0.5,3,0.0140002,0,1
10,0.6,19,0.0979998,1,1
10,0.7,14,0.0700002,1,1
10,0.8,19,0.101,1,1
10,0.9,14,0.0780001,1,1
10,1,11,0.056,1,1
11,0.1,2,0.00999999,0,1
11,0.2,3,0.017,0,1
11,0.3,5,0.0250001,0,1
11,0.4,2,0.0109999,0,1
11,0.5,5,0.026,0,1
11,0.6,22,0.115,1,1
11,0.7,18,0.0929999,1,1
11,0.8,15,0.076,1,1
11,0.9,14,0.072,1,1
11,1,12,0.0600002,1,1
12,0.1,2,0.0109999,0,1
12,0.2,2,0.00999999,0,1
12,0.3,2,0.00999999,0,1
12,0.4,2,0.0109999,0,1
12,0.5,25,0.146,1,1
12,0.6,3,0.02,0,1
12,0.7,17,0.113,1,1
12,0.8,19,0.118,1,1
12,0.9,16,0.103,1,1
12,1,13,0.0730002,1,1
13,0.1,2,0.013,0,1
13,0.2,2,0.0119998,0,1
13,0.3,3,0.017,0,1
13,0.4,4,0.0270002,0,1
13,0.5,5,0.027,0,1
13,0.6,21,0.119,1,1
13,0.7,23,0.12,1,1
13,0.8,24,0.134,1,1
13,0.9,18,0.0929999,1,1
13,1,14,0.076,1,1
14,0.1,2,0.0119998,0,1
14,0.2,4,0.0190001,0,1
14,0.3,4,0.0220001,0,1
14,0.4,5,0.0239999,0,1
14,0.5,6,0.0310001,0,1
14,0.6,27,0.144,0,1
14,0.7,23,0.127,1,1
14,0.8,19,0.103,1,1
14,0.9,17,0.0910001,1,1
14,1,15,0.085,1,1
15,0.1,2,0.0109999,0,1
15,0.2,3,0.0150001,0,1
15,0.3,3,0.016,0,1
15,0.4,7,0.036,0,1
15,0.5,8,0.0829999,0,1
15,0.6,24,0.134,1,1
15,0.7,42,0.216,1,1
15,0.8,21,0.11,1,1
15,0.9,19,0.0979998,1,1
15,1,16,0.0860002,1,1
16,0.1,2,0.0109999,0,1
16,0.2,4,0.0220001,0,1
16,0.3,3,0.0159998,0,1
16,0.4,8,0.0440001,0,1
16,0.5,12,0.066,0,1
16,0.6,16,0.0829999,0,1
16,0.7,22,0.119,1,1
16,0.8,22,0.115,1,1
16,0.9,19,0.096,1,1
16,1,17,0.0990002,1,1
17,0.1,2,0.0139999,0,1
17,0.2,2,0.0119998,0,1
17,0.3,5,0.0280001,0,1
17,0.4,2,0.062,0,1
17,0.5,4,0.0249999,0,1
17,0.6,33,0.27,1,1
17,0.7,25,0.153,1,1
17,0.8,26,0.185,1,1
17,0.9,22,0.13,1,1
17,1,18,0.095,1,1
18,0.1,2,0.00999999,0,1
18,0.2,4,0.026,0,1
18,0.3,6,0.0309999,0,1
18,0.4,6,0.033,0,1
18,0.5,16,0.086,0,1
18,0.6,26,0.153,1,1
18,0.7,29,0.167,1,1
18,0.8,25,0.128,1,1
18,0.9,22,0.127,1,1
18,1,19,0.2,1,1
19,0.1,2,0.013,0,1
19,0.2,2,0.0119998,0,1
19,0.3,1,0.00500011,0,1
19,0.4,8,0.053,0,1
19,0.5,36,0.201,1,1
19,0.6,31,0.218,1,1
19,0.7,43,0.262,1,1
19,0.8,25,0.133,1,1
19,0.9,32,0.169,1,1
19,1,20,0.116,1,1
20,0.1,2,0.0150001,0,1
20,0.2,2,0.0139999,0,1
20,0.3,4,0.089,0,1
20,0.4,9,0.0650001,0,1
20,0.5,10,0.059,0,1
20,0.6,31,0.202,1,1
20,0.7,36,0.188,1,1
20,0.8,26,0.14,1,1
20,0.9,24,0.128,1,1
20,1,21,0.119,1,1
21,0.1,1,0.00499988,0,1
21,0.2,2,0.0120001,0,1
21,0.3,4,0.023,0,1
21,0.4,13,0.14,0,1
21,0.5,38,0.217,1,1
21,0.6,32,0.169,0,1
21,0.7,39,0.203,1,1
21,0.8,28,0.151,1,1
21,0.9,25,0.132,1,1
21,1,22,0.12,1,1
22,0.1,1,0.00500011,0,1
22,0.2,5,0.029,0,1
22,0.3,4,0.0219998,0,1
22,0.4,7,0.039,0,1
22,0.5,29,0.236,0,1
22,0.6,40,0.242,1,1
22,0.7,36,0.2,1,1
22,0.8,33,0.199,1,1
22,0.9,28,0.152,1,1
22,1,23,0.13,1,1
23,0.1,2,0.0120001,0,1
23,0.2,2,0.0109999,0,1
23,0.3,5,0.026,0,1
23,0.4,7,0.0379999,0,1
23,0.5,12,0.0640001,0,1
23,0.6,34,0.186,0,1
23,0.7,34,0.18,1,1
23,0.8,30,0.171,1,1
23,0.9,26,0.135,1,1
23,1,24,0.127,1,1
24,0.1,2,0.0119998,0,1
24,0.2,3,0.02,0,1
24,0.3,2,0.0120001,0,1
24,0.4,13,0.0780001,0,1
24,0.5,6,0.0320001,0,1
24,0.6,56,0.301,1,1
24,0.7,40,0.206,1,1
24,0.8,34,0.19,1,1
24,0.9,29,0.15,1,1
24,1,25,0.129,1,1
25,0.1,5,0.026,0,1
25,0.2,3,0.0150001,0,1
25,0.3,8,0.0409999,0,1
25,0.4,8,0.0410001,0,1
25,0.5,14,0.072,0,1
25,0.6,68,0.35,1,1
25,0.7,39,0.198,1,1
25,0.8,37,0.191,1,1
25,0.9,30,0.156,1,1
25,1,26,0.135,1,1
26,0.1,2,0.00900006,0,1
26,0.2,5,0.027,0,1
26,0.3,4,0.02,0,1
26,0.4,6,0.0320001,0,1
26,0.5,41,0.218,1,1
26,0.6,51,0.267,0,1
26,0.7,57,0.297,1,1
26,0.8,33,0.17,1,1
26,0.9,30,0.156,1,1
26,1,27,0.139,1,1
27,0.1,2,0.0109999,0,1
27,0.2,4,0.0210001,0,1
27,0.3,5,0.0249999,0,1
27,0.4,9,0.049,0,1
27,0.5,28,0.145,0,1
27,0.6,45,0.244,0,1
27,0.7,42,0.247,1,1
27,0.8,36,0.224,1,1
27,0.9,32,0.17,1,1
27,1,28,0.154,1,1
28,0.1,2,0.0120001,0,1
28,0.2,3,0.02,0,1
28,0.3,5,0.033,0,1
28,0.4,4,0.0840001,0,1
28,0.5,9,0.0739999,0,1
28,0.6,46,0.263,1,1
28,0.7,55,0.295,1,1
28,0.8,36,0.277,1,1
28,0.9,33,0.191,1,1
28,1,29,0.16,1,1
29,0.1,1,0.00499988,0,1
29,0.2,3,0.016,0,1
29,0.3,7,0.039,0,1
29,0.4,6,0.0339999,0,1
29,0.5,22,0.133,0,1
29,0.6,52,0.308,1,1
29,0.7,49,0.344,1,1
29,0.8,39,0.223,1,1
29,0.9,34,0.178,1,1
29,1,30,0.159,1,1
30,0.1,2,0.00999999,0,1
30,0.2,7,0.0400002,0,1
30,0.3,4,0.0189998,0,1
30,0.4,10,0.056,0,1
30,0.5,8,0.0450001,0,1
30,0.6,76,0.471,1,1
30,0.7,47,0.268,1,1
30,0.8,39,0.312,1,1
30,0.9,36,0.197,1,1
30,1,31,0.162,1,1
31,0.1,2,0.00999999,0,1
31,0.2,7,0.0370002,0,1
31,0.3,7,0.0369999,0,1
31,0.4,5,0.0279999,0,1
31,0.5,14,0.0740001,0,1
31,0.6,78,0.551,1,1
31,0.7,56,0.314,1,1
31,0.8,41,0.249,1,1
31,0.9,36,0.25,1,1
31,1,32,0.197,1,1
32,0.1,4,0.029,0,1
32,0.2,2,0.0129998,0,1
32,0.3,4,0.0300002,0,1
32,0.4,16,0.116,0,1
32,0.5,11,0.0939999,0,1
32,0.6,62,0.365,1,1
32,0.7,54,0.346,1,1
32,0.8,42,0.238,1,1
32,0.9,37,0.202,1,1
32,1,33,0.184,1,1
33,0.1,1,0.00600004,0,1
33,0.2,3,0.02,0,1
33,0.3,6,0.039,0,1
33,0.4,4,0.0250001,0,1
33,0.5,14,0.164,0,1
33,0.6,51,0.418,0,1
33,0.7,51,0.332,1,1
33,0.8,46,0.26,1,1
33,0.9,39,0.239,1,1
33,1,34,0.191,1,1
34,0.1,2,0.0110002,0,1
34,0.2,3,0.017,0,1
34,0.3,7,0.04,0,1
34,0.4,6,0.0339999,0,1
34,0.5,39,0.22,0,1
34,0.6,35,0.189,0,1
34,0.7,58,0.321,1,1
34,0.8,43,0.235,1,1
34,0.9,39,0.219,1,1
34,1,35,0.187,1,1
35,0.1,4,0.0210001,0,1
35,0.2,2,0.00999999,0,1
35,0.3,4,0.0209999,0,1
35,0.4,11,0.062,0,1
35,0.5,15,0.085,0,1
35,0.6,98,0.733,1,1
35,0.7,59,0.345,1,1
35,0.8,45,0.261,1,1
35,0.9,40,0.22,1,1
35,1,36,0.209,1,1
36,0.1,2,0.00999999,0,1
36,0.2,3,0.016,0,1
36,0.3,6,0.0339999,0,1
36,0.4,15,0.0799999,0,1
36,0.5,12,0.0650001,0,1
36,0.6,64,0.349,1,1
36,0.7,57,0.319,1,1
36,0.8,46,0.247,1,1
36,0.9,43,0.243,1,1
36,1,37,0.205,1,1
37,0.1,3,0.0150001,0,1
37,0.2,4,0.0209999,0,1
37,0.3,3,0.017,0,1
37,0.4,16,0.0870001,0,1
37,0.5,12,0.0650001,0,1
37,0.6,68,0.369,1,1
37,0.7,50,0.272,1,1
37,0.8,50,0.289,1,1
37,0.9,43,0.248,1,1
37,1,38,0.207,1,1
38,0.1,2,0.0119998,0,1
38,0.2,4,0.02,0,1
38,0.3,10,0.0570002,0,1
38,0.4,11,0.0599999,0,1
38,0.5,25,0.134,0,1
38,0.6,75,0.416,1,1
38,0.7,60,0.331,1,1
38,0.8,48,0.261,1,1
38,0.9,46,0.256,1,1
38,1,39,0.249,1,1
39,0.1,2,0.013,0,1
39,0.2,11,0.0649998,0,1
39,0.3,5,0.0280001,0,1
39,0.4,6,0.0349998,0,1
39,0.5,33,0.175,0,1
39,0.6,74,0.415,1,1
39,0.7,63,0.346,1,1
39,0.8,51,0.283,1,1
39,0.9,45,0.241,1,1
39,1,40,0.224,1,1
40,0.1,2,0.0109999,0,1
40,0.2,2,0.0109999,0,1
40,0.3,6,0.0350001,0,1
40,0.4,7,0.0369999,0,1
40,0.5,14,0.076,0,1
40,0.6,50,0.271,0,1
40,0.7,59,0.338,1,1
40,0.8,53,0.341,1,1
40,0.9,45,0.254,1,1
40,1,41,0.233,1,1
41,0.1,2,0.0110002,0,1
41,0.2,3,0.0149999,0,1
41,0.3,9,0.049,0,1
41,0.4,20,0.11,0,1
41,0.5,15,0.092,0,1
41,0.6,16,0.0999999,0,1
41,0.7,70,0.391,1,1
41,0.8,51,0.308,1,1
41,0.9,48,0.348,1,1
41,1,42,0.258,1,1
42,0.1,2,0.00999999,0,1
42,0.2,8,0.0439999,0,1
42,0.3,7,0.0380001,0,1
42,0.4,9,0.0469999,0,1
42,0.5,9,0.049,0,1
42,0.6,97,0.585,1,1
42,0.7,70,0.507,1,1
42,0.8,54,0.33,1,1
42,0.9,49,0.301,1,1
42,1,43,0.266,1,1
43,0.1,2,0.0120001,0,1
43,0.2,5,0.0309999,0,1
43,0.3,12,0.066,0,1
43,0.4,6,0.0350001,0,1
43,0.5,15,0.0899999,0,1
43,0.6,23,0.145,0,1
43,0.7,70,0.393,1,1
43,0.8,56,0.37,1,1
43,0.9,50,0.39,1,1
43,1,44,0.301,1,1
44,0.1,5,0.0319998,0,1
44,0.2,4,0.0250001,0,1
44,0.3,5,0.036,0,1
44,0.4,13,0.0929999,0,1
44,0.5,13,0.114,0,1
44,0.6,94,0.634,1,1
44,0.7,63,0.43,1,1
44,0.8,56,0.347,1,1
44,0.9,51,0.294,1,1
44,1,45,0.26,1,1
45,0.1,3,0.017,0,1
45,0.2,2,0.0120001,0,1
45,0.3,7,0.04,0,1
45,0.4,6,0.036,0,1
45,0.5,24,0.137,0,1
45,0.6,67,0.377,0,1
45,0.7,64,0.371,1,1
45,0.8,59,0.341,1,1
45,0.9,52,0.343,1,1
45,1,46,0.306,1,1
46,0.1,2,0.0119998,0,1
46,0.2,3,0.017,0,1
46,0.3,4,0.026,0,1
46,0.4,6,0.0440001,0,1
46,0.5,13,0.0909998,0,1
46,0.6,95,0.767,1,1
46,0.7,67,0.481,1,1
46,0.8,58,0.382,1,1
46,0.9,52,0.293,1,1
46,1,47,0.265,1,1
47,0.1,3,0.017,0,1
47,0.2,4,0.0220001,0,1
47,0.3,7,0.04,0,1
47,0.4,22,0.129,0,1
47,0.5,13,0.0730002,0,1
47,0.6,92,0.508,0,1
47,0.7,69,0.388,1,1
47,0.8,60,0.329,1,1
47,0.9,56,0.311,1,1
47,1,48,0.273,1,1
48,0.1,2,0.0110002,0,1
48,0.2,10,0.056,0,1
48,0.3,5,0.029,0,1
48,0.4,10,0.0549998,0,1
48,0.5,22,0.126,0,1
48,0.6,66,0.369,0,1
48,0.7,74,0.413,1,1
48,0.8,65,0.359,1,1
48,0.9,54,0.303,1,1
48,1,49,0.273,1,1
49,0.1,2,0.0119998,0,1
49,0.2,4,0.0210001,0,1
49,0.3,8,0.0439999,0,1
49,0.4,9,0.0510001,0,1
49,0.5,22,0.129,0,1
49,0.6,109,0.651,1,1
49,0.7,100,0.595,1,1
49,0.8,64,0.361,1,1
49,0.9,58,0.328,1,1
49,1,50,0.329,1,1
50,0.1,2,0.0139999,0,1
50,0.2,3,0.0220001,0,1
50,0.3,4,0.0289998,0,1
50,0.4,9,0.0630002,0,1
50,0.5,18,0.126,0,1
50,0.6,41,0.28,0,1
50,0.7,83,0.514,1,1
50,0.8,66,0.421,1,1
50,0.9,56,0.319,1,1
50,1,51,0.29,1,1
51,0.1,4,0.0210001,0,1
51,0.2,4,0.0219998,0,1
51,0.3,4,0.023,0,1
51,0.4,14,0.0770001,0,1
51,0.5,26,0.148,0,1
51,0.6,18,0.104,0,1
51,0.7,75,0.427,1,1
51,0.8,69,0.385,1,1
51,0.9,59,0.524,1,1
51,1,52,0.34,1,1
52,0.1,2,0.0109999,0,1
52,0.2,2,0.0110002,0,1
52,0.3,4,0.026,0,1
52,0.4,11,0.0719998,0,1
52,0.5,77,0.511,0,1
52,0.6,51,0.306,0,1
52,0.7,80,0.475,1,1
52,0.8,68,0.382,1,1
52,0.9,60,0.348,1,1
52,1,53,0.308,1,1
53,0.1,2,0.0109999,0,1
53,0.2,2,0.0120001,0,1
53,0.3,8,0.0450001,0,1
53,0.4,14,0.0769999,0,1
53,0.5,30,0.164,0,1
53,0.6,57,0.312,0,1
53,0.7,86,0.473,1,1
53,0.8,69,0.38,1,1
53,0.9,63,0.343,1,1
53,1,54,0.299,1,1
54,0.1,2,0.00999999,0,1
54,0.2,4,0.023,0,1
54,0.3,7,0.0380001,0,1
54,0.4,24,0.13,0,1
54,0.5,23,0.125,0,1
54,0.6,123,0.682,1,1
54,0.7,85,0.465,1,1
54,0.8,69,0.378,1,1
54,0.9,63,0.343,1,1
54,1,56,0.306,1,1
55,0.1,2,0.00999999,0,1
55,0.2,3,0.0170002,0,1
55,0.3,6,0.0339999,0,1
55,0.4,9,0.05,0,1
55,0.5,24,0.131,0,1
55,0.6,100,0.544,1,1
55,0.7,85,0.466,1,1
55,0.8,68,0.38,1,1
55,0.9,63,0.341,1,1
55,1,56,0.305,1,1
56,0.1,3,0.017,0,1
56,0.2,5,0.0280001,0,1
56,0.3,7,0.04,0,1
56,0.4,13,0.0709999,0,1
56,0.5,16,0.086,0,1
56,0.6,112,0.615,1,1
56,0.7,89,0.496,1,1
56,0.8,72,0.388,1,1
56,0.9,63,0.353,1,1
56,1,57,0.306,1,1
57,0.1,2,0.0110002,0,1
57,0.2,7,0.0369999,0,1
57,0.3,6,0.033,0,1
57,0.4,16,0.0870001,0,1
57,0.5,35,0.19,0,1
57,0.6,70,0.385,0,1
57,0.7,82,0.444,1,1
57,0.8,70,0.389,1,1
57,0.9,66,0.391,1,1
57,1,58,0.326,1,1
58,0.1,3,0.0159998,0,1
58,0.2,6,0.0340002,0,1
58,0.3,11,0.0609999,0,1
58,0.4,15,0.0900002,0,1
58,0.5,20,0.123,0,1
58,0.6,153,0.874,1,1
58,0.7,79,0.473,1,1
58,0.8,72,0.546,1,1
58,0.9,66,0.404,1,1
58,1,59,0.383,1,1
59,0.1,7,0.043,0,1
59,0.2,4,0.0709999,0,1
59,0.3,5,0.0370002,0,1
59,0.4,6,0.036,0,1
59,0.5,13,0.0869999,0,1
59,0.6,105,0.712,1,1
