n_threads,iteration,time
2,1,0.636245
2,0,0.652708
2,2,0.64735
2,3,0.645737
2,4,0.620524
2,5,0.632291
2,6,0.633409
2,7,0.647433
2,8,0.651099
2,9,0.647809
2,10,0.636027
2,11,0.644453
2,12,0.651677
2,13,0.655479
2,14,0.665466
2,15,0.656273
2,16,0.632653
2,17,0.634498
2,18,0.633887
2,19,0.636454
2,20,0.641041
2,21,0.648191
2,22,0.629328
2,23,0.643007
2,24,0.623532
2,25,0.636765
2,26,0.636656
2,27,0.64997
2,28,0.625941
2,29,0.640754
2,30,0.630402
2,31,0.637902
2,32,0.640928
2,33,0.634146
2,34,0.639954
2,35,0.638928
2,36,0.649297
2,37,0.633224
2,38,0.640083
2,39,0.624363
2,40,0.64306
2,41,0.629362
2,42,0.633333
2,43,0.616493
2,44,0.633902
2,45,0.636939
2,46,0.617051
2,47,0.644994
2,48,0.634109
2,49,0.632067
2,50,0.633601
2,51,0.632951
2,52,0.623381
2,53,0.638192
2,54,0.642337
2,55,0.633675
2,56,0.633252
2,57,0.63513
2,58,0.642014
2,59,0.629423
2,60,0.633559
2,61,0.635227
2,62,0.63001
2,63,0.634756
2,64,0.627225
2,65,0.649109
2,66,0.631526
2,67,0.640539
2,68,0.630268
2,69,0.612976
2,70,0.623267
2,71,0.641721
2,72,0.641836
2,73,0.637203
2,74,0.643262
2,75,0.636029
2,76,0.629271
2,77,0.62755
2,78,0.63696
2,79,0.630498
2,80,0.639711
2,81,0.6569
2,82,0.627546
2,83,0.640048
2,84,0.63977
2,85,0.631721
2,86,0.638562
2,87,0.639359
2,88,0.637092
2,89,0.651443
2,90,0.650903
2,91,0.63678
2,92,0.615496
2,93,0.648391
2,94,0.629932
2,95,0.637048
2,96,0.642837
2,97,0.636458
2,98,0.636097
2,99,0.623113
3,2,0.718722
3,1,0.744293
3,0,0.756309
3,3,0.751346
3,5,0.729343
3,4,0.74589
3,7,0.697331
3,6,0.719287
3,8,0.72931
3,9,0.710019
3,10,0.715186
3,11,0.729031
3,13,0.721288
3,12,0.736033
3,14,0.726986
3,16,0.698397
3,15,0.711318
3,17,0.719413
3,18,0.733558
3,19,0.754169
3,20,0.748321
3,21,0.728719
3,22,0.716121
3,23,0.712349
3,24,0.726024
3,25,0.720037
3,26,0.757075
3,28,0.726742
3,27,0.742242
3,29,0.770244
3,31,0.712538
3,30,0.731874
3,32,0.722046
3,33,0.715477
3,34,0.707855
3,35,0.73682
3,36,0.7197
3,37,0.723427
3,38,0.740709
3,39,0.723784
3,40,0.720032
3,41,0.727303
3,42,0.725427
3,43,0.721924
3,44,0.72783
3,46,0.713566
3,45,0.718141
3,47,0.711839
3,48,0.727419
3,49,0.745062
3,50,0.718906
3,51,0.715925
3,52,0.725951
3,53,0.736617
3,54,0.738797
3,55,0.724159
3,56,0.752765
3,57,0.746128
3,58,0.745227
3,59,0.759885
3,60,0.728423
3,61,0.727854
3,62,0.728155
3,63,0.720991
3,64,0.734021
3,65,0.715356
3,66,0.713682
3,67,0.715409
3,68,0.7357
3,69,0.712591
3,70,0.71534
3,71,0.712115
3,72,0.719473
3,73,0.725137
3,74,0.727503
3,75,0.734827
3,76,0.720942
3,77,0.730751
3,78,0.725727
3,79,0.708562
3,80,0.723479
3,81,0.727682
3,82,0.724351
3,83,0.707782
3,84,0.69305
3,85,0.704737
3,86,0.707174
3,87,0.708499
3,88,0.739914
3,89,0.733803
3,90,0.716964
3,91,0.720039
3,92,0.712435
3,93,0.694191
3,94,0.720837
3,95,0.731052
3,96,0.694941
3,97,0.700411
3,98,0.679948
3,99,0.625061
4,1,0.918395
4,0,0.938563
4,2,0.938887
4,3,0.94133
4,7,0.924988
4,4,0.947927
4,6,0.940481
4,5,0.943154
4,8,0.941579
4,9,0.971488
4,11,0.975385
4,10,0.984479
4,12,0.951288
4,13,0.971979
4,15,0.947068
4,14,0.960093
4,16,0.958047
4,18,0.936819
4,19,0.943099
4,17,0.959178
4,20,0.935511
4,21,0.925724
4,22,0.952648
4,23,0.959063
4,24,0.953247
4,25,0.956293
4,26,0.944675
4,27,0.947994
4,29,0.907122
4,28,0.931308
4,30,0.931122
4,31,0.939688
4,32,0.925024
4,33,0.9443
4,34,0.914452
4,35,0.947337
4,36,0.942865
4,37,0.938877
4,38,0.95048
4,39,0.970033
4,41,0.941723
4,40,0.959939
4,42,0.929263
4,43,0.949014
4,45,0.950075
4,44,0.952836
4,46,0.948875
4,47,0.913685
4,49,0.95388
4,48,0.957918
4,50,0.966186
4,51,0.983371
4,52,0.912931
4,54,0.90518
4,53,0.948551
4,55,0.920976
4,56,0.945458
4,57,0.929241
4,58,0.939561
4,59,0.931138
4,60,0.98919
4,61,1.00028
4,62,0.977177
4,63,0.955201
4,65,0.955926
4,64,0.997074
4,66,1.01223
4,67,0.975503
4,68,0.95126
4,69,0.947512
4,71,0.918954
4,70,0.942397
4,72,0.966206
4,73,0.964471
4,74,0.995531
4,75,0.985675
4,76,0.952639
4,77,0.952535
4,79,0.936415
4,78,0.945871
4,80,0.92492
4,81,0.926383
4,82,0.932026
4,83,0.940465
4,84,0.932916
4,85,0.962981
4,86,0.947657
4,87,0.960078
4,88,0.939595
4,89,0.936753
4,91,0.942545
4,90,0.978125
4,92,0.913924
4,93,0.946088
4,95,0.932241
4,94,0.947706
4,96,0.969522
4,97,0.951325
4,98,0.924426
4,99,0.918783
5,1,1.52895
5,3,1.55575
5,4,1.58012
5,0,1.58607
5,2,1.61497
5,5,1.46367
5,7,1.48426
5,6,1.51607
5,8,1.53902
5,9,1.59322
5,10,1.44714
5,12,1.46878
5,11,1.49903
5,13,1.47212
5,14,1.43656
5,15,1.42994
5,16,1.39327
5,18,1.35924
5,17,1.48513
5,19,1.42625
5,20,1.48181
5,22,1.54158
5,21,1.57032
5,23,1.5303
5,24,1.58601
5,25,1.51134
5,26,1.51117
