n,p,n_steps,time,bottom_reached
1,0.01,1,0.000626456,0
1,0.02,1,1.05798e-06,0
1,0.03,1,5.47618e-07,0
1,0.04,1,1.39065e-05,0
1,0.05,1,4.78402e-05,0
1,0.06,1,2.39089e-05,0
1,0.07,1,7.59959e-07,0
1,0.08,1,1.27032e-05,0
1,0.09,1,2.36183e-05,0
1,0.1,1,1.60336e-05,0
1,0.11,1,2.0612e-05,0
1,0.12,1,2.21804e-05,0
1,0.13,2,1.18837e-06,1
1,0.14,1,1.22972e-05,0
1,0.15,1,9.72301e-07,0
1,0.16,1,9.54792e-06,0
1,0.17,1,7.00355e-07,0
1,0.18,1,2.22065e-05,0
5,0.01,1,0.000994977,0
1,0.19,2,9.67085e-06,1
1,0.2,1,2.18488e-05,0
1,0.21,1,5.5179e-05,0
1,0.22,2,8.08388e-07,1
1,0.23,1,5.98133e-05,0
1,0.24,2,1.39289e-05,1
1,0.25,1,2.36072e-05,0
1,0.26,1,1.95093e-05,0
1,0.27,1,4.27142e-05,0
1,0.28,2,1.08555e-05,1
1,0.29,1,1.27777e-06,0
1,0.3,2,7.56234e-07,1
1,0.31,1,1.2923e-05,0
1,0.32,2,7.26432e-07,1
5,0.02,1,0.000294548,0
1,0.33,2,5.97052e-05,1
1,0.34,1,5.17815e-07,0
1,0.35,2,5.02914e-07,1
1,0.36,1,9.38773e-07,0
1,0.37,2,1.1567e-05,1
1,0.38,1,2.32793e-05,0
1,0.39,1,2.23219e-05,0
9,0.01,3,0.00142222,0
1,0.4,2,9.82359e-06,1
1,0.41,2,8.3819e-07,1
1,0.42,1,2.3365e-05,0
1,0.43,1,1.33254e-05,0
1,0.44,1,2.58386e-05,0
1,0.45,2,1.56835e-06,1
1,0.46,1,8.04663e-07,0
1,0.47,2,1.39885e-05,1
1,0.48,1,2.49259e-05,0
5,0.03,1,0.000281192,0
1,0.49,1,4.10378e-05,0
1,0.5,2,7.82311e-07,1
1,0.51,1,5.1409e-07,0
1,0.52,2,7.71135e-07,1
1,0.53,1,3.98606e-07,0
1,0.54,2,1.6544e-05,1
1,0.55,1,1.39251e-05,0
1,0.56,1,2.2687e-05,0
13,0.01,1,0.00168171,0
1,0.57,1,3.07336e-05,0
1,0.58,2,1.05426e-06,1
1,0.59,2,4.06057e-07,1
1,0.6,1,3.29204e-05,0
1,0.61,2,2.0422e-05,1
1,0.62,1,8.12113e-07,0
1,0.63,1,3.1665e-07,0
1,0.64,1,3.13669e-05,0
1,0.65,2,6.74278e-07,1
1,0.66,1,2.46316e-05,0
1,0.67,1,2.34582e-05,0
1,0.68,1,2.37077e-05,0
1,0.69,2,8.64267e-07,1
1,0.7,1,2.74181e-06,0
5,0.04,1,0.000283744,0
1,0.71,2,6.25849e-07,1
1,0.72,1,1.99601e-05,0
1,0.73,2,3.63588e-05,1
1,0.74,1,4.16748e-05,0
1,0.75,1,1.20848e-05,0
1,0.76,2,1.16341e-05,1
1,0.77,2,2.81036e-05,1
1,0.78,2,4.99189e-07,1
