n,p,n_steps,time,bottom_reached
1,0.01,1,0.000234134,0
5,0.01,1,0.00302048,0
13,0.01,1,0.00297446,0
1,0.02,1,1.90362e-06,0
1,0.03,1,3.5882e-05,0
1,0.04,1,5.32717e-07,0
1,0.05,1,2.16775e-05,0
1,0.06,1,9.574e-07,0
1,0.07,1,9.38699e-05,0
1,0.08,1,5.84871e-07,0
1,0.09,1,4.32134e-07,0
1,0.1,2,5.21317e-05,1
1,0.11,1,9.49949e-07,0
1,0.12,2,6.51926e-07,1
1,0.13,1,7.52509e-07,0
1,0.14,1,2.67886e-05,0
1,0.15,1,1.11721e-05,0
5,0.02,1,0.000287328,0
1,0.16,2,1.6097e-05,1
1,0.17,1,1.29342e-05,0
1,0.18,1,1.59442e-06,0
1,0.19,2,1.02445e-06,1
1,0.2,2,7.1153e-07,1
1,0.21,1,8.34465e-07,0
1,0.22,1,7.31871e-05,0
1,0.23,1,6.40266e-05,0
1,0.24,2,1.22376e-05,1
1,0.25,1,3.84562e-05,0
1,0.26,1,2.15508e-05,0
1,0.27,2,2.35029e-05,1
1,0.28,1,7.1153e-07,0
1,0.29,1,2.48477e-05,0
1,0.3,1,1.06581e-05,0
1,0.31,1,3.91528e-05,0
1,0.32,1,5.32717e-07,0
1,0.33,1,1.56276e-05,0
1,0.34,2,2.23629e-05,1
1,0.35,2,1.33477e-05,1
1,0.36,1,2.61515e-05,0
1,0.37,1,2.3108e-05,0
5,0.03,1,0.000455648,0
5,0.04,1,4.00841e-06,0
1,0.38,2,1.3385e-05,1
1,0.39,1,1.09673e-05,0
9,0.01,1,0.00398239,0
1,0.4,2,4.40776e-05,1
1,0.41,1,1.61566e-05,0
1,0.42,1,7.78586e-07,0
1,0.43,1,1.13919e-05,0
1,0.44,2,1.2815e-06,1
1,0.45,2,5.73695e-07,1
1,0.46,2,9.14857e-05,1
1,0.47,2,2.75187e-05,1
1,0.48,2,1.35601e-06,1
1,0.49,1,1.1418e-05,0
5,0.05,1,0.000251669,0
1,0.5,1,1.42716e-05,0
1,0.51,1,4.88013e-07,0
1,0.52,1,9.07481e-06,0
1,0.53,1,2.14763e-05,0
1,0.54,2,2.43075e-05,1
1,0.55,2,1.46367e-05,1
1,0.56,1,1.45286e-05,0
1,0.57,1,3.63514e-05,0
5,0.06,1,0.000140198,0
1,0.58,2,2.42852e-05,1
1,0.59,2,1.32173e-05,1
1,0.6,2,2.3216e-05,1
1,0.61,1,8.86619e-07,0
1,0.62,2,9.46596e-06,1
1,0.63,1,2.19531e-05,0
1,0.64,2,1.70209e-05,1
1,0.65,2,4.92074e-05,1
1,0.66,2,2.96719e-05,1
1,0.67,1,1.04308e-06,0
1,0.68,2,1.01179e-05,1
13,0.02,1,0.00135171,0
5,0.07,3,0.000213861,0
1,0.69,2,3.36953e-05,1
1,0.7,1,7.26432e-07,0
1,0.71,1,7.45058e-07,0
1,0.72,2,1.20401e-05,1
1,0.73,2,5.25266e-07,1
1,0.74,2,1.13621e-06,1
1,0.75,2,5.01908e-05,1
1,0.76,1,1.52364e-06,0
9,0.02,2,0.000661846,0
1,0.77,2,3.23988e-05,1
1,0.78,2,2.28509e-05,1
1,0.79,2,1.13621e-06,1
1,0.8,1,6.4075e-07,0
5,0.08,1,0.000215191,0
1,0.81,2,8.16323e-05,1
1,0.82,2,2.42516e-05,1
1,0.83,2,9.23872e-07,1
1,0.839999,2,5.32717e-07,1
1,0.849999,2,2.9128e-05,1
1,0.859999,2,3.99686e-05,1
1,0.869999,2,8.12113e-07,1
1,0.879999,2,1.19731e-05,1
5,0.09,2,0.000154998,0
1,0.889999,2,3.38592e-05,1
1,0.899999,2,1.01328e-06,1
1,0.909999,2,1.08778e-06,1
1,0.919999,2,4.44837e-05,1
17,0.01,2,0.00499398,0
1,0.929999,2,3.32966e-05,1
1,0.939999,2,1.03563e-06,1
5,0.1,1,0.000123478,0
1,0.949999,2,3.298e-05,1
1,0.959999,2,3.355e-05,1
1,0.969999,2,1.2219e-06,1
1,0.979999,2,5.5287e-05,1
1,0.989999,2,2.94261e-05,1
1,0.999999,2,1.69836e-05,1
2,0.01,1,4.41298e-05,0
5,0.11,1,0.000203662,0
9,0.03,1,0.000620697,0
2,0.02,1,4.7911e-05,0
2,0.03,1,1.60076e-05,0
2,0.04,1,5.29513e-05,0
2,0.05,1,1.52364e-06,0
2,0.06,2,6.48014e-05,0
2,0.07,1,1.70283e-05,0
2,0.08,1,1.17868e-05,0
2,0.09,1,1.19284e-05,0
2,0.1,1,4.48264e-05,0
2,0.11,1,2.46018e-05,0
2,0.12,1,5.00642e-05,0
2,0.13,1,1.12131e-06,0
5,0.12,2,0.000369094,0
5,0.13,1,5.23776e-05,0
2,0.14,1,9.5848e-05,0
2,0.15,1,4.41149e-05,0
2,0.16,1,2.24821e-05,0
2,0.17,2,6.8333e-05,0
2,0.18,1,2.17594e-05,0
2,0.19,1,1.82167e-06,0
2,0.2,1,3.07485e-05,0
2,0.21,1,2.07499e-06,0
2,0.22,1,3.51295e-05,0
9,0.04,1,0.000738662,0
5,0.14,2,0.000359572,0
2,0.23,2,0.000131384,0
2,0.24,1,1.07288e-06,0
5,0.15,1,8.53054e-05,0
2,0.25,1,9.39071e-05,0
2,0.26,3,1.54041e-05,1
29,0.01,1,0.00623863,0
2,0.27,2,0.000117417,0
2,0.28,2,8.71345e-05,0
17,0.02,1,0.00139546,0
13,0.03,2,0.00187778,0
21,0.01,2,0.00643563,0
2,0.29,2,6.26743e-05,0
2,0.3,3,1.76206e-06,1
2,0.31,3,1.95578e-06,1
5,0.16,2,0.000369836,0
2,0.32,1,7.59885e-05,0
2,0.33,2,1.83284e-06,0
2,0.34,2,6.59265e-05,0
2,0.35,1,1.38655e-05,0
9,0.05,2,0.00069363,0
5,0.17,2,0.000292536,0
2,0.36,2,0.000162475,0
2,0.37,1,5.34765e-05,0
25,0.01,1,0.00686244,0
2,0.38,2,6.7357e-05,0
2,0.39,1,3.89852e-05,0
2,0.4,1,0.000123855,0
5,0.18,2,0.00029194,0
2,0.41,3,5.88819e-05,1
2,0.42,2,5.75148e-05,0
2,0.43,1,1.30385e-06,0
2,0.44,2,5.70081e-05,0
2,0.45,1,1.83657e-06,0
9,0.06,1,0.00056896,0
2,0.46,2,3.80315e-05,0
5,0.19,1,0.000226256,0
2,0.47,3,8.48025e-05,1
2,0.48,2,5.41396e-05,0
2,0.49,1,8.16397e-05,0
2,0.5,3,1.2368e-06,1
2,0.51,2,1.55643e-05,0
2,0.52,2,1.5229e-05,0
2,0.53,3,1.84998e-05,1
2,0.54,3,5.47096e-05,1
5,0.2,4,0.000354975,0
2,0.55,1,5.93103e-05,0
13,0.04,2,0.00129924,0
2,0.56,3,0.000108898,1
2,0.57,3,8.29995e-05,1
17,0.03,1,0.00155428,0
2,0.58,2,0.00013924,0
5,0.21,3,0.000369228,0
2,0.59,4,2.37711e-05,1
2,0.6,2,0.000138909,0
2,0.61,3,1.50502e-06,1
2,0.62,3,2.00942e-05,1
2,0.63,2,4.79296e-05,0
2,0.64,3,0.000116941,1
2,0.65,3,3.37586e-05,1
2,0.66,4,5.5369e-05,1
2,0.67,2,1.53482e-06,0
2,0.68,4,2.55555e-06,1
5,0.22,2,0.00051152,0
2,0.69,3,0.00011437,1
2,0.7,3,2.97278e-06,1
2,0.71,3,6.02864e-05,1
2,0.72,2,4.45209e-05,0
9,0.07,2,0.00142527,0
5,0.23,1,0.000184741,0
2,0.73,4,6.9987e-05,1
2,0.74,3,8.51229e-05,1
2,0.75,3,2.02283e-06,1
2,0.76,3,5.15804e-05,1
5,0.24,2,0.000252884,0
2,0.77,3,0.000198692,1
2,0.78,4,5.61625e-05,1
5,0.25,2,0.000227164,0
2,0.79,2,8.24928e-05,0
13,0.05,1,0.00153948,0
2,0.8,4,6.21453e-05,1
2,0.81,3,3.64967e-05,1
5,0.26,1,0.00018543,0
2,0.82,4,4.98928e-05,1
2,0.83,4,4.86709e-05,1
2,0.839999,3,6.40787e-05,1
21,0.02,2,0.00316471,0
5,0.27,3,0.000239238,0
2,0.849999,3,0.000115495,1
2,0.859999,3,1.9297e-06,1
9,0.08,1,0.000941686,0
2,0.869999,3,3.9231e-05,1
2,0.879999,4,4.19058e-05,1
2,0.889999,4,8.64789e-05,1
5,0.28,3,0.000187848,0
2,0.899999,1,6.19926e-05,0
2,0.909999,3,1.46404e-06,1
2,0.919999,3,1.93641e-05,1
2,0.929999,3,7.60183e-05,1
2,0.939999,4,4.37126e-05,1
2,0.949999,3,1.54227e-06,1
2,0.959999,3,8.43555e-05,1
2,0.969999,3,2.39424e-05,1
2,0.979999,3,1.91107e-06,1
2,0.989999,3,1.99303e-06,1
5,0.29,2,0.000352066,0
2,0.999999,3,0.000107639,1
9,0.09,2,0.000700526,0
3,0.01,1,0.000153534,0
37,0.01,2,0.0105579,0
33,0.01,1,0.0105568,0
3,0.02,1,0.000172764,0
5,0.3,2,0.00043061,0
3,0.03,3,0.000123233,0
5,0.31,2,0.00011396,0
3,0.04,1,2.61776e-05,0
3,0.05,1,0.000111144,0
9,0.1,2,0.000504449,0
5,0.32,2,0.000194531,0
3,0.06,1,0.000157177,0
3,0.07,1,5.59054e-05,0
5,0.33,6,0.000151392,0
13,0.06,1,0.00182559,0
3,0.08,2,5.16064e-05,0
17,0.04,2,0.00316417,0
29,0.02,1,0.0049266,0
3,0.09,1,0.000148468,0
5,0.34,3,0.000237536,0
3,0.1,2,5.29736e-05,0
3,0.11,1,6.83181e-05,0
25,0.02,1,0.00452872,0
3,0.12,1,7.66777e-05,0
21,0.03,1,0.00196931,0
5,0.35,5,0.000370897,0
9,0.11,1,0.000836838,0
3,0.13,4,0.000241794,1
3,0.14,1,0.000109699,0
41,0.01,1,0.0118225,0
5,0.36,1,0.000246603,0
3,0.15,2,0.000176635,0
5,0.37,6,0.00013721,0
3,0.16,2,0.000107694,0
5,0.38,1,8.90978e-05,0
3,0.17,1,8.38861e-05,0
3,0.18,1,5.0433e-05,0
3,0.19,2,0.000105206,0
5,0.39,6,0.000284214,0
3,0.2,1,0.000165142,0
3,0.21,1,6.73346e-05,0
3,0.22,3,3.54648e-05,0
3,0.23,2,4.48897e-06,0
3,0.24,1,7.06799e-05,0
13,0.07,2,0.00161625,0
5,0.4,5,0.00027452,0
3,0.25,1,0.000102069,0
45,0.01,2,0.0129671,0
5,0.41,4,0.000262942,0
3,0.26,2,0.000263996,0
9,0.12,1,0.00144017,0
5,0.42,8,0.000166167,1
3,0.27,1,0.000183273,0
5,0.43,5,0.000136446,0
17,0.05,2,0.00228647,0
3,0.28,2,0.000228859,0
5,0.44,8,0.000318695,1
3,0.29,1,0.000162657,0
3,0.3,2,0.00015055,0
3,0.31,2,0.000101477,0
5,0.45,3,0.000306949,0
3,0.32,1,0.000172798,0
3,0.33,1,2.83495e-06,0
5,0.46,6,0.000179194,0
13,0.08,2,0.00145564,0
3,0.34,2,0.000124048,0
3,0.35,1,6.45295e-05,0
3,0.36,1,3.18065e-05,0
21,0.04,1,0.0027338,0
5,0.47,6,0.000237904,0
9,0.13,1,0.00122064,0
3,0.37,1,0.00012885,0
5,0.48,2,0.000118658,0
3,0.38,1,0.000136938,0
25,0.03,1,0.00317464,0
3,0.39,4,0.000164092,1
5,0.49,9,0.000297461,1
3,0.4,2,0.000145789,0
5,0.5,6,0.000215568,0
3,0.41,4,0.000146549,1
3,0.42,2,5.87218e-05,0
3,0.43,2,6.37732e-05,0
5,0.51,8,0.000248067,1
49,0.01,1,0.0152452,0
3,0.44,1,0.000164788,0
9,0.14,1,0.000982009,0
5,0.52,1,0.000142295,0
3,0.45,5,0.000178963,1
3,0.46,2,3.99314e-05,0
5,0.53,8,0.000222456,1
3,0.47,1,9.96254e-05,0
5,0.54,4,0.000154898,0
13,0.09,1,0.00160696,0
3,0.48,3,0.000140563,0
3,0.49,4,4.58546e-05,1
3,0.5,2,7.42823e-05,0
9,0.15,3,0.000640862,0
29,0.03,2,0.00483532,0
3,0.51,3,0.000199556,0
3,0.52,3,4.60297e-05,0
5,0.55,8,0.000417665,1
3,0.53,5,3.71896e-05,1
3,0.54,2,6.66901e-05,0
5,0.56,2,0.000155494,0
9,0.16,2,0.000814613,0
17,0.06,2,0.00300263,0
33,0.02,1,0.00587221,0
53,0.01,2,0.0170709,0
5,0.57,8,0.000292834,1
13,0.1,3,0.00146861,0
5,0.58,8,0.000157531,0
3,0.55,6,0.000469413,1
3,0.56,6,0.000137955,1
5,0.59,5,0.000175819,0
3,0.57,6,0.000107672,1
9,0.17,2,0.000740632,0
3,0.58,3,0.000133898,0
21,0.05,1,0.00349912,0
3,0.59,4,0.000146657,1
5,0.6,6,0.000397369,0
3,0.6,5,7.88681e-05,1
3,0.61,4,1.0509e-05,1
3,0.62,4,7.19875e-05,1
3,0.63,2,4.4696e-05,0
37,0.02,1,0.00754755,0
5,0.61,6,0.000246447,0
3,0.64,2,0.00010765,0
13,0.11,1,0.000973605,0
5,0.62,6,0.000343852,0
9,0.18,2,0.000911362,0
3,0.65,4,0.000403184,1
3,0.66,1,3.58969e-05,0
25,0.04,2,0.0040721,0
3,0.67,5,2.86512e-05,1
17,0.07,1,0.00181992,0
5,0.63,1,0.000214882,0
3,0.68,5,7.44238e-05,1
3,0.69,5,0.000132028,1
3,0.7,4,7.38353e-05,1
5,0.64,9,0.000259079,1
3,0.71,4,0.000129573,1
5,0.65,10,0.000268199,1
3,0.72,4,0.000165079,1
9,0.19,3,0.000806645,0
3,0.73,4,0.000129472,1
3,0.74,4,2.38866e-05,1
5,0.66,6,0.000218581,1
3,0.75,5,7.62977e-05,1
3,0.76,3,6.98604e-05,0
3,0.77,4,2.62968e-05,1
3,0.78,4,0.0001055,1
3,0.79,6,5.44116e-05,1
5,0.67,8,0.000311002,1
3,0.8,4,2.96533e-05,1
3,0.81,4,3.81097e-05,1
3,0.82,5,4.0628e-05,1
29,0.04,2,0.00388366,0
3,0.83,6,8.71532e-05,1
13,0.12,2,0.00174886,0
5,0.68,9,0.000238221,1
9,0.2,2,0.000730406,0
3,0.839999,6,0.000155386,1
5,0.69,9,0.000135284,1
3,0.849999,4,0.000182938,1
5,0.7,8,0.000178728,1
3,0.859999,4,0.000170927,1
3,0.869999,4,0.000174612,1
5,0.71,8,0.000312287,1
57,0.01,1,0.0206331,0
21,0.06,1,0.00287475,0
3,0.879999,4,8.42549e-05,1
9,0.21,4,0.00074926,0
3,0.889999,4,0.000100438,1
13,0.13,2,0.00086949,0
3,0.899999,5,0.000171054,1
3,0.909999,4,0.00015571,1
5,0.72,9,0.000510458,1
3,0.919999,4,0.000221256,1
3,0.929999,4,7.73109e-05,1
5,0.73,6,0.000352807,1
3,0.939999,4,0.000113741,1
5,0.74,8,9.87351e-05,1
3,0.949999,4,7.81044e-05,1
17,0.08,2,0.00294947,0
9,0.22,4,0.00092642,0
61,0.01,2,0.021745,0
5,0.75,9,0.000230961,1
3,0.959999,4,0.000214335,1
13,0.14,3,0.00111628,0
3,0.969999,4,0.000150006,1
5,0.76,7,0.000190441,1
3,0.979999,4,0.000131905,1
3,0.989999,4,5.86808e-05,1
9,0.23,4,0.000479162,0
3,0.999999,4,3.86126e-05,1
5,0.77,8,0.00029815,1
4,0.01,1,0.000183713,0
4,0.02,1,0.000161134,0
9,0.24,3,0.000434924,0
5,0.78,8,0.000337817,1
5,0.79,6,7.10748e-05,1
4,0.03,1,0.00021759,0
25,0.05,2,0.00422182,0
45,0.02,2,0.00997065,0
4,0.04,1,0.000149291,0
21,0.07,2,0.00229646,0
5,0.8,8,0.000290457,1
5,0.81,7,3.00221e-05,1
4,0.05,1,0.000234485,0
9,0.25,2,0.000560772,0
33,0.03,1,0.00634401,0
4,0.06,1,5.15543e-05,0
13,0.15,2,0.00134263,0
4,0.07,1,9.4343e-05,0
5,0.82,7,0.000320818,1
41,0.02,1,0.0115716,0
5,0.83,6,0.000171177,1
4,0.08,1,0.000249919,0
5,0.839999,7,0.000174943,1
4,0.09,1,0.000158601,0
9,0.26,3,0.000632916,0
4,0.1,2,0.000293348,0
5,0.849999,7,0.000327155,1
4,0.11,2,0.00016018,0
9,0.27,2,0.000409205,0
17,0.09,3,0.00267537,0
4,0.12,1,0.000170182,0
5,0.859999,6,0.000387218,1
4,0.13,2,0.000153765,0
5,0.869999,7,0.000181291,1
4,0.14,2,0.000170104,0
5,0.879999,9,0.000202,1
4,0.15,1,0.000132658,0
13,0.16,2,0.00165516,0
4,0.16,1,0.000181846,0
4,0.17,1,0.000178181,0
5,0.889999,6,0.00039994,1
9,0.28,4,0.00105474,0
4,0.18,1,0.000146497,0
5,0.899999,7,0.000157997,1
4,0.19,1,0.000100031,0
4,0.2,1,0.000151362,0
5,0.909999,7,0.000211954,1
4,0.21,2,7.27288e-05,0
21,0.08,2,0.00279371,0
5,0.919999,6,0.000190865,1
9,0.29,3,0.000517674,0
29,0.05,2,0.00595089,0
25,0.06,2,0.00298043,0
4,0.22,1,0.000201516,0
4,0.23,1,0.000162113,0
5,0.929999,6,0.000267815,1
5,0.939999,8,8.90121e-05,1
37,0.03,2,0.00811024,0
4,0.24,1,0.000241041,0
5,0.949999,7,0.000167944,1
49,0.02,2,0.01113,0
5,0.959999,6,0.000120502,1
4,0.25,1,0.000272941,0
4,0.26,1,4.89876e-05,0
13,0.17,2,0.00165287,0
17,0.1,4,0.00235122,0
9,0.3,2,0.000846501,0
5,0.969999,7,0.000273451,1
4,0.27,2,0.000270799,0
4,0.28,2,0.00011928,0
5,0.979999,6,0.000284694,1
4,0.29,4,2.67886e-05,0
4,0.3,1,0.00013851,0
5,0.989999,6,0.000203166,1
4,0.31,2,0.000150833,0
5,0.999999,6,0.000165053,1
9,0.31,4,0.00082707,0
4,0.32,1,0.000205796,0
4,0.33,5,3.95626e-05,0
4,0.34,1,8.0388e-05,0
6,0.01,1,0.000484493,0
65,0.01,1,0.0280271,0
4,0.35,2,0.000481006,0
4,0.36,1,1.44579e-05,0
4,0.37,2,5.37485e-05,0
13,0.18,6,0.00160245,0
6,0.02,2,0.000417735,0
4,0.38,3,0.00010502,0
9,0.32,3,0.000935555,0
21,0.09,2,0.00274967,0
4,0.39,6,0.000358205,1
6,0.03,2,0.000383597,0
6,0.04,2,0.000151329,0
4,0.4,7,0.000207223,1
4,0.41,1,0.000139218,0
74,0.01,1,0.0290289,0
4,0.42,3,0.000141986,0
6,0.05,1,0.000369333,0
9,0.33,2,0.000836801,0
29,0.06,2,0.00347344,0
17,0.11,2,0.00265598,0
68,0.01,1,0.029367,0
13,0.19,2,0.00121188,0
6,0.06,1,0.000266377,0
4,0.43,3,0.000327803,0
4,0.44,6,0.00016164,0
4,0.45,8,0.000115845,1
6,0.07,2,0.000415463,0
33,0.04,2,0.00666758,0
9,0.34,8,0.000638064,0
4,0.46,8,0.000272121,1
4,0.47,1,0.000133079,0
4,0.48,2,6.96629e-05,0
6,0.08,2,0.00048957,0
4,0.49,2,0.000157237,0
25,0.07,3,0.00465807,0
4,0.5,2,0.00012961,0
6,0.09,2,0.000236716,0
9,0.35,7,0.000695184,0
4,0.51,2,0.000195108,0
13,0.2,3,0.00132464,0
4,0.52,2,8.9895e-05,0
6,0.1,1,0.000296079,0
4,0.53,2,0.000307724,0
6,0.11,1,0.000295192,0
21,0.1,2,0.00272796,0
4,0.54,2,0.000195559,0
6,0.12,1,0.000231955,0
9,0.36,4,0.000830278,0
71,0.01,1,0.0316133,0
4,0.55,7,0.000314776,1
6,0.13,1,0.000242714,0
4,0.56,5,0.000134461,0
17,0.12,4,0.00262155,0
4,0.57,2,0.000168107,0
4,0.58,6,2.47434e-05,1
13,0.21,3,0.0012475,0
6,0.14,1,0.000346646,0
4,0.59,6,0.000230026,1
6,0.15,1,0.000335481,0
9,0.37,6,0.00100485,0
4,0.6,3,0.000376344,0
6,0.16,1,0.000315014,0
53,0.02,2,0.0157877,0
37,0.04,2,0.00671591,0
9,0.38,3,0.000584546,0
4,0.61,6,0.000534378,1
6,0.17,1,0.000489935,0
4,0.62,5,5.69448e-05,0
4,0.63,6,0.000123985,1
9,0.39,2,0.00027078,0
6,0.18,2,0.000393987,0
4,0.64,7,0.000268895,1
6,0.19,2,0.000249028,0
4,0.65,7,0.00024844,1
41,0.03,1,0.0105408,0
77,0.01,1,0.0340163,0
13,0.22,8,0.00200169,0
25,0.08,2,0.00360748,0
6,0.2,2,0.000301175,0
4,0.66,6,0.000297267,1
9,0.4,4,0.00092081,0
4,0.67,7,0.000139486,1
4,0.68,7,2.77124e-05,1
21,0.11,2,0.00305362,0
29,0.07,1,0.00503307,0
6,0.21,3,0.000367418,0
4,0.69,6,0.000268426,1
80,0.01,2,0.0345805,0
6,0.22,2,0.000146188,0
45,0.03,1,0.0118103,0
6,0.23,1,0.000118315,0
4,0.7,9,0.000369657,1
6,0.24,4,0.000207797,0
17,0.13,2,0.00306655,0
9,0.41,8,0.000842456,0
4,0.71,6,0.000170056,1
6,0.25,5,0.000166055,0
6,0.26,8,0.000190265,0
4,0.72,7,0.000279911,1
6,0.27,6,0.000160512,0
13,0.23,3,0.00148486,0
4,0.73,2,0.000275299,0
6,0.28,2,0.000235729,0
4,0.74,6,7.57352e-05,1
9,0.42,4,0.000750728,0
6,0.29,2,0.00029321,0
4,0.75,7,0.000379879,1
33,0.05,1,0.00644487,0
6,0.3,3,0.000341542,0
4,0.76,6,0.000242025,1
13,0.24,3,0.000881974,0
9,0.43,13,0.000644013,0
4,0.77,10,0.000120603,1
4,0.78,6,9.44436e-05,1
21,0.12,2,0.00230904,0
6,0.31,5,0.000450615,0
9,0.44,17,0.000499655,1
4,0.79,6,0.000396028,1
13,0.25,3,0.000805605,0
6,0.32,7,0.000446029,0
17,0.14,1,0.00240382,0
9,0.45,6,0.000654113,0
4,0.8,8,0.000690036,1
6,0.33,2,0.000438705,0
25,0.09,2,0.00375445,0
4,0.81,5,0.000224285,1
4,0.82,6,8.22395e-05,1
13,0.26,2,0.000828147,0
6,0.34,2,0.000350479,0
4,0.83,5,0.000304285,1
6,0.35,3,0.000312295,0
4,0.839999,5,0.000102494,1
4,0.849999,5,0.000130832,1
6,0.36,5,0.000161618,0
9,0.46,6,0.00100344,0
4,0.859999,7,0.000219434,1
6,0.37,5,0.000286624,0
21,0.13,2,0.00221851,0
4,0.869999,8,0.000132952,1
86,0.01,2,0.0389413,0
6,0.38,4,0.00016449,0
4,0.879999,6,0.000176191,1
37,0.05,2,0.00629479,0
9,0.47,4,0.000601634,0
4,0.889999,5,0.000192627,1
6,0.39,2,0.000376675,0
4,0.899999,5,0.000266463,1
13,0.27,6,0.00151186,0
17,0.15,3,0.00214219,0
4,0.909999,5,9.54941e-05,1
29,0.08,2,0.00536817,0
6,0.4,4,0.00038255,0
4,0.919999,6,0.000196122,1
9,0.48,11,0.000609081,1
4,0.929999,6,7.09668e-05,1
6,0.41,2,0.000169639,0
49,0.03,2,0.0136604,0
4,0.939999,6,0.000155549,1
6,0.42,8,0.000367206,0
4,0.949999,5,0.000312671,1
4,0.959999,5,7.83205e-05,1
6,0.43,4,0.000363763,0
9,0.49,11,0.00081072,1
13,0.28,11,0.00121205,0
4,0.969999,5,0.00032432,1
25,0.1,2,0.00297379,0
83,0.01,2,0.0409177,0
4,0.979999,5,0.000189953,1
4,0.989999,5,0.000159841,1
6,0.44,6,0.000505298,0
9,0.5,6,0.000541687,0
21,0.14,3,0.00244617,0
17,0.16,3,0.00173538,0
4,0.999999,5,0.000211954,1
6,0.45,7,0.000371549,0
13,0.29,3,0.000860706,0
6,0.46,6,0.000315513,0
57,0.02,3,0.0213376,0
9,0.51,15,0.000826202,1
6,0.47,6,0.000369713,0
33,0.06,2,0.00608282,0
41,0.04,2,0.00848605,0
6,0.48,6,0.000243623,0
9,0.52,4,0.0005618,0
92,0.01,2,0.0428092,0
13,0.3,10,0.00117046,0
89,0.01,1,0.0428811,0
6,0.49,3,0.000422671,0
6,0.5,8,0.00024654,0
61,0.02,1,0.0215576,0
9,0.53,5,0.000737589,0
17,0.17,4,0.00203621,0
6,0.51,3,0.00033699,0
21,0.15,2,0.00229671,0
29,0.09,2,0.00388747,0
6,0.52,11,0.00029118,1
9,0.54,2,0.000641789,0
13,0.31,6,0.00118087,0
6,0.53,4,0.000482876,0
95,0.01,1,0.0443157,0
6,0.54,6,0.000269916,0
9,0.55,7,0.000550024,0
6,0.55,4,0.000291582,0
6,0.56,11,8.41841e-05,1
45,0.04,1,0.0101832,0
9,0.56,6,0.000572227,0
6,0.57,13,0.000226256,1
25,0.11,3,0.00435647,0
17,0.18,2,0.0018677,0
13,0.32,5,0.00123726,0
6,0.58,10,0.000221606,1
37,0.06,1,0.00615777,0
9,0.57,2,0.000536643,0
6,0.59,9,0.000410013,0
53,0.03,2,0.0131768,0
9,0.58,3,0.000499144,0
21,0.16,2,0.00264094,0
6,0.6,2,0.00061046,0
13,0.33,13,0.00138549,0
6,0.61,8,0.000305668,1
6,0.62,12,0.000179399,1
9,0.59,3,0.000935853,0
6,0.63,8,0.000323359,1
13,0.34,6,0.000672866,0
6,0.64,8,0.000154343,1
17,0.19,2,0.00217862,0
33,0.07,2,0.00513361,0
6,0.65,13,0.000350244,1
9,0.6,3,0.000800591,0
6,0.66,8,0.000294369,1
6,0.67,9,0.000193283,1
9,0.61,12,0.000688676,0
6,0.68,12,0.00041268,1
21,0.17,6,0.00251223,0
98,0.01,1,0.0488721,0
29,0.1,2,0.00534781,0
13,0.35,6,0.00172434,0
6,0.69,9,0.000414841,1
9,0.62,16,0.000723984,1
17,0.2,2,0.00192457,0
25,0.12,2,0.00414811,0
6,0.7,10,0.000414126,1
6,0.71,8,0.00032362,1
9,0.63,15,0.000518598,1
9,0.64,8,0.000415653,0
6,0.72,8,0.00061037,0
17,0.21,2,0.00108388,0
13,0.36,5,0.00160431,0
9,0.65,20,0.000523146,1
65,0.02,2,0.0228568,0
6,0.73,8,0.000512265,1
21,0.18,5,0.00223992,0
6,0.74,11,0.000260148,1
9,0.66,16,0.000473544,1
68,0.02,2,0.0218846,0
41,0.05,1,0.0089311,0
6,0.75,9,0.000270575,1
9,0.67,12,0.000387181,1
6,0.76,9,0.000299424,1
13,0.37,2,0.00128115,0
6,0.77,8,0.000473034,1
9,0.68,13,0.000617303,1
17,0.22,4,0.00193454,0
33,0.08,2,0.00495952,0
9,0.69,15,0.000353564,1
6,0.78,8,0.000526901,1
49,0.04,2,0.012751,0
6,0.79,11,0.000227891,1
6,0.8,9,0.000345539,1
9,0.7,15,0.000692669,1
13,0.38,8,0.0015538,0
25,0.13,2,0.00412053,0
29,0.11,3,0.00456553,0
21,0.19,4,0.00264757,0
6,0.81,8,0.000348423,1
9,0.71,16,0.000444427,1
6,0.82,7,0.000158392,1
37,0.07,2,0.00842049,0
6,0.83,8,0.000249907,1
13,0.39,6,0.000911623,0
17,0.23,6,0.00211805,0
6,0.839999,8,0.000485078,1
9,0.72,13,0.000908487,1
45,0.05,2,0.00995395,0
6,0.849999,9,0.000448082,1
9,0.73,16,0.000465769,1
6,0.859999,9,0.000313397,1
13,0.4,7,0.00103172,0
6,0.869999,9,0.000506241,1
9,0.74,12,0.000743363,1
71,0.02,2,0.0243857,0
17,0.24,9,0.00168895,0
21,0.2,2,0.00257856,0
6,0.879999,8,0.000404097,1
6,0.889999,11,0.000331197,1
13,0.41,7,0.00131771,0
9,0.75,12,0.000887789,1
6,0.899999,8,0.000242367,1
6,0.909999,10,0.000257611,1
57,0.03,3,0.0151786,0
9,0.76,15,0.00047949,1
6,0.919999,8,0.000295289,1
25,0.14,3,0.00400902,0
13,0.42,4,0.000856526,0
6,0.929999,8,0.00028003,1
29,0.12,2,0.00419632,0
