n,p,n_steps,time,bottom_reached
1,0.01,1,0.000368677,0
25,0.01,1,0.000776973,0
1,0.02,1,3.355e-05,0
1,0.03,1,1.4849e-05,0
1,0.04,2,1.98893e-05,1
1,0.05,1,3.46228e-05,0
1,0.06,2,1.31242e-05,1
1,0.07,1,7.7486e-07,0
1,0.08,1,3.06405e-05,0
1,0.09,1,5.73695e-07,0
1,0.1,1,2.0396e-05,0
1,0.11,1,3.17134e-05,0
1,0.12,1,5.88596e-07,0
1,0.13,1,6.91675e-05,0
5,0.01,1,0.00115607,0
1,0.14,1,2.00756e-05,0
1,0.15,1,3.61577e-05,0
1,0.16,1,1.54004e-05,0
1,0.17,1,6.44475e-07,0
1,0.18,1,9.99495e-06,0
1,0.19,2,5.33238e-05,1
1,0.2,1,1.3195e-05,0
1,0.21,1,3.83444e-05,0
1,0.22,1,1.51247e-06,0
1,0.23,1,1.02073e-06,0
9,0.01,1,0.00136079,0
1,0.24,1,6.92904e-07,0
1,0.25,1,1.49384e-06,0
1,0.26,1,3.97079e-05,0
5,0.02,1,0.000247985,0
1,0.27,1,1.13733e-05,0
1,0.28,2,1.38208e-06,1
1,0.29,1,2.68556e-05,0
1,0.3,1,2.89083e-05,0
5,0.03,1,8.41841e-05,0
1,0.31,1,2.51271e-05,0
1,0.32,1,1.03749e-05,0
1,0.33,1,1.97217e-05,0
1,0.34,2,1.0252e-05,1
1,0.35,1,6.29574e-07,0
1,0.36,1,5.81145e-07,0
1,0.37,1,9.76399e-06,0
1,0.38,2,6.55651e-07,1
1,0.39,1,2.72952e-05,0
1,0.4,2,4.65661e-07,1
1,0.41,1,1.30385e-05,0
1,0.42,1,1.29715e-05,0
1,0.43,2,6.59376e-07,1
1,0.44,1,2.67141e-05,0
1,0.45,1,1.90809e-05,0
1,0.46,1,1.43014e-05,0
1,0.47,1,1.67266e-06,0
1,0.48,1,8.3819e-07,0
5,0.04,2,0.000209793,0
1,0.49,2,3.36617e-05,1
1,0.5,1,2.36593e-05,0
1,0.51,2,1.09933e-05,1
1,0.52,1,1.31577e-05,0
1,0.53,2,1.13174e-05,1
1,0.54,2,6.89179e-07,1
1,0.55,2,4.59477e-05,1
1,0.56,2,2.37301e-06,1
9,0.02,1,0.00048897,0
5,0.05,1,0.000178549,0
1,0.57,1,7.53365e-05,0
1,0.58,2,1.39363e-05,1
1,0.59,2,2.08467e-05,1
1,0.6,2,5.88596e-07,1
5,0.06,2,8.23066e-05,0
13,0.01,1,0.00198147,0
1,0.61,1,1.85408e-05,0
1,0.62,2,1.34706e-05,1
1,0.63,1,1.93603e-05,0
1,0.64,2,2.02991e-05,1
1,0.65,1,9.12696e-07,0
1,0.66,2,8.3074e-07,1
1,0.67,1,3.00445e-05,0
1,0.68,2,2.93627e-05,1
1,0.69,2,2.0355e-05,1
1,0.7,1,2.08989e-05,0
1,0.71,2,1.54227e-05,1
1,0.72,2,1.5229e-05,1
1,0.73,2,6.51926e-07,1
1,0.74,2,3.45595e-05,1
1,0.75,1,5.66244e-07,0
1,0.76,2,1.07251e-05,1
1,0.77,2,1.12131e-06,1
1,0.78,2,1.25952e-05,1
5,0.07,1,0.000288896,0
1,0.79,1,1.53258e-05,0
21,0.01,1,0.00227767,0
1,0.8,2,1.93566e-05,1
1,0.81,1,2.99364e-05,0
1,0.82,2,9.55164e-06,1
1,0.83,1,1.27032e-06,0
1,0.839999,2,1.45659e-06,1
1,0.849999,2,1.01179e-05,1
1,0.859999,2,2.0247e-05,1
1,0.869999,2,2.36928e-06,1
1,0.879999,2,5.28991e-07,1
1,0.889999,2,4.39584e-07,1
1,0.899999,2,9.77516e-06,1
1,0.909999,2,7.41333e-07,1
1,0.919999,2,1.88537e-05,1
1,0.929999,2,4.41633e-05,1
1,0.939999,2,1.03265e-05,1
1,0.949999,2,1.83806e-05,1
1,0.959999,2,3.13036e-05,1
1,0.969999,2,6.70552e-07,1
9,0.03,1,0.000679903,0
1,0.979999,2,3.47495e-05,1
1,0.989999,2,9.45106e-06,1
1,0.999999,2,9.20147e-07,1
5,0.08,1,0.000307489,0
2,0.01,1,6.00815e-05,0
2,0.02,1,0.000108067,0
5,0.09,2,0.000174884,0
2,0.03,1,4.82537e-05,0
2,0.04,1,1.3411e-05,0
2,0.05,1,0.000106778,0
