n,p,n_steps,time,bottom_reached
1,0.01,1,0.000371534,0
5,0.01,1,0.000632826,0
1,0.02,1,3.18252e-05,0
1,0.03,1,1.09971e-05,0
1,0.04,1,1.08778e-06,0
5,0.02,1,6.83106e-05,0
1,0.05,1,3.00705e-05,0
1,0.06,1,1.05798e-06,0
1,0.07,1,3.87393e-05,0
1,0.08,1,3.20338e-05,0
1,0.09,1,5.25266e-07,0
1,0.1,1,1.01514e-05,0
1,0.11,1,4.69387e-07,0
1,0.12,1,3.02382e-05,0
1,0.13,1,2.10963e-05,0
1,0.14,1,6.18398e-07,0
1,0.15,2,1.11759e-06,1
1,0.16,1,2.8491e-05,0
1,0.17,1,2.31564e-05,0
1,0.18,2,1.19656e-05,1
1,0.19,1,6.37025e-07,0
1,0.2,1,7.07805e-07,0
1,0.21,2,6.37025e-07,1
1,0.22,1,5.12414e-05,0
5,0.03,1,0.000290606,0
1,0.23,1,1.06767e-05,0
1,0.24,1,1.67377e-05,0
1,0.25,1,3.39448e-05,0
1,0.26,1,1.09263e-05,0
1,0.27,1,6.10538e-05,0
9,0.01,1,0.00155178,0
5,0.04,1,0.000366848,0
1,0.28,1,0.000294,0
1,0.29,2,1.8876e-05,1
1,0.3,1,0.000106283,0
1,0.31,1,6.13891e-05,0
1,0.32,2,6.55651e-07,1
1,0.33,1,3.42987e-05,0
1,0.34,2,9.68948e-06,1
1,0.35,2,5.96046e-07,1
1,0.36,1,1.11163e-05,0
1,0.37,2,9.40636e-06,1
1,0.38,2,7.48783e-07,1
1,0.39,1,8.15839e-07,0
1,0.4,1,5.55068e-07,0
1,0.41,2,3.4146e-05,1
1,0.42,1,1.17309e-05,0
1,0.43,1,5.36442e-07,0
1,0.44,1,9.04873e-06,0
1,0.45,1,1.97142e-05,0
1,0.46,2,7.93487e-07,1
1,0.47,1,4.89056e-05,0
1,0.48,2,4.44762e-05,1
1,0.49,2,2.15918e-05,1
5,0.05,2,0.000531685,0
1,0.5,1,1.30087e-05,0
1,0.51,2,9.68575e-07,1
9,0.02,1,0.000604127,0
1,0.52,2,4.74229e-05,1
13,0.01,2,0.0022165,0
1,0.53,2,3.84226e-05,1
1,0.54,2,3.40492e-05,1
1,0.55,2,2.30744e-05,1
1,0.56,1,3.22051e-05,0
1,0.57,1,7.56234e-07,0
1,0.58,1,3.28682e-05,0
1,0.59,2,1.05798e-06,1
1,0.6,2,3.56622e-05,1
1,0.61,2,2.11e-05,1
1,0.62,1,5.25266e-07,0
1,0.63,2,1.00955e-06,1
1,0.64,1,2.02805e-05,0
1,0.65,1,2.9102e-05,0
1,0.66,1,4.02331e-07,0
5,0.06,1,0.000363603,0
1,0.67,1,3.38703e-05,0
17,0.01,1,0.00255002,0
1,0.68,2,7.80597e-05,1
1,0.69,2,1.27517e-05,1
1,0.7,2,2.38381e-05,1
1,0.71,2,1.14366e-06,1
1,0.72,2,1.112e-05,1
1,0.73,2,1.15857e-06,1
1,0.74,1,1.19209e-06,0
5,0.07,2,0.000148848,0
1,0.75,2,2.17371e-05,1
1,0.76,2,8.90344e-07,1
1,0.77,2,2.09585e-05,1
1,0.78,2,1.03563e-06,1
1,0.79,1,3.92683e-05,0
1,0.8,2,2.15098e-05,1
1,0.81,1,8.79169e-07,0
1,0.82,1,2.06865e-05,0
1,0.83,2,2.39573e-05,1
1,0.839999,2,7.30157e-05,1
1,0.849999,1,1.56946e-05,0
9,0.03,1,0.000727773,0
1,0.859999,2,1.82837e-05,1
1,0.869999,2,6.81095e-05,1
1,0.879999,2,1.16602e-06,1
5,0.08,1,0.000340294,0
1,0.889999,2,3.55467e-05,1
1,0.899999,2,2.26945e-05,1
1,0.909999,2,1.38916e-05,1
1,0.919999,2,6.66827e-07,1
1,0.929999,2,2.10069e-05,1
1,0.939999,2,2.67886e-05,1
1,0.949999,2,6.85453e-07,1
1,0.959999,2,1.91629e-05,1
1,0.969999,2,1.33738e-06,1
1,0.979999,2,9.38028e-06,1
1,0.989999,2,1.40518e-05,1
1,0.999999,2,7.0408e-07,1
2,0.01,1,4.31836e-05,0
2,0.02,2,1.9744e-06,0
5,0.09,1,0.00023276,0
2,0.03,1,4.46402e-05,0
2,0.04,1,4.39398e-05,0
2,0.05,1,5.01312e-05,0
2,0.06,1,6.29872e-05,0
13,0.02,1,0.00121917,0
2,0.07,1,7.83503e-05,0
2,0.08,2,7.28853e-05,0
5,0.1,1,0.000358798,0
2,0.09,2,5.46351e-05,0
2,0.1,1,1.29081e-05,0
2,0.11,1,1.1865e-05,0
2,0.12,1,3.63216e-05,0
2,0.13,1,3.74578e-05,0
2,0.14,1,3.97973e-05,0
2,0.15,1,1.02967e-05,0
2,0.16,2,3.69027e-05,0
5,0.11,2,0.000253875,0
9,0.04,1,0.00096415,0
2,0.17,1,8.12002e-05,0
2,0.18,2,7.23079e-05,0
2,0.19,1,6.80648e-05,0
5,0.12,1,0.000262793,0
2,0.2,1,0.000107888,0
2,0.21,1,5.36852e-05,0
2,0.22,1,1.36681e-05,0
5,0.13,1,0.000151783,0
21,0.01,1,0.00430632,0
2,0.23,1,0.00010059,0
2,0.24,1,0.000106152,0
17,0.02,2,0.00191194,0
2,0.25,2,2.58572e-05,0
2,0.26,2,2.17929e-06,0
5,0.14,2,0.000272814,0
9,0.05,1,0.000709221,0
2,0.27,1,0.000109307,0
2,0.28,2,2.64496e-06,0
2,0.29,2,8.06488e-05,0
2,0.3,2,3.65525e-05,0
2,0.31,3,5.73732e-05,1
2,0.32,4,9.55239e-05,1
5,0.15,2,0.000337251,0
25,0.01,1,0.0049202,0
2,0.33,1,6.17728e-05,0
2,0.34,1,1.52364e-06,0
2,0.35,1,1.79559e-06,0
2,0.36,2,4.13954e-05,0
2,0.37,2,9.30056e-05,0
5,0.16,2,0.000252508,0
2,0.38,3,5.17406e-05,1
2,0.39,3,1.84774e-06,1
2,0.4,1,2.46875e-05,0
2,0.41,2,6.75656e-05,0
2,0.42,2,8.55215e-05,0
9,0.06,1,0.000810336,0
2,0.43,1,8.15131e-05,0
2,0.44,1,6.57961e-05,0
2,0.45,3,3.19481e-05,1
13,0.03,1,0.00206773,0
2,0.46,2,3.38629e-05,0
5,0.17,1,0.000407431,0
2,0.47,2,3.92608e-05,0
2,0.48,3,6.6746e-05,1
2,0.49,3,5.18672e-05,1
2,0.5,2,4.24385e-05,0
2,0.51,1,1.32397e-05,0
2,0.52,4,1.5907e-06,1
2,0.53,1,8.65869e-05,0
2,0.54,3,1.87345e-05,1
2,0.55,4,0.000117619,1
2,0.56,3,5.99883e-05,1
5,0.18,2,0.000534751,0
2,0.57,2,0.000136517,0
2,0.58,2,2.39909e-06,0
2,0.59,4,1.99713e-05,1
29,0.01,1,0.006197,0
2,0.6,4,1.95205e-06,1
2,0.61,2,5.65052e-05,0
9,0.07,1,0.000912983,0
2,0.62,1,4.36604e-05,0
2,0.63,3,0.000100859,1
5,0.19,1,0.000338536,0
2,0.64,3,4.37759e-05,1
2,0.65,3,2.04146e-06,1
2,0.66,1,3.82774e-05,0
2,0.67,3,4.15593e-05,1
2,0.68,3,2.44714e-05,1
5,0.2,2,0.000196218,0
2,0.69,1,7.38315e-05,0
2,0.7,3,4.40814e-05,1
2,0.71,3,4.95352e-05,1
2,0.72,3,1.45063e-05,1
33,0.01,1,0.00677987,0
2,0.73,3,5.44153e-05,1
2,0.74,3,3.86834e-05,1
17,0.03,1,0.00239186,0
2,0.75,3,6.87204e-05,1
2,0.76,3,5.14984e-05,1
2,0.77,3,3.1095e-05,1
2,0.78,3,5.30779e-05,1
2,0.79,3,5.57825e-05,1
2,0.8,3,4.76688e-05,1
2,0.81,3,5.04889e-05,1
2,0.82,4,1.3113e-06,1
9,0.08,1,0.000959639,0
2,0.83,3,5.02653e-05,1
2,0.839999,4,6.9838e-05,1
2,0.849999,3,3.78005e-05,1
5,0.21,1,0.000825252,0
2,0.859999,4,8.50931e-05,1
2,0.869999,3,2.52463e-05,1
13,0.04,2,0.00200663,0
2,0.879999,4,2.30931e-05,1
2,0.889999,3,1.96323e-06,1
2,0.899999,4,6.37844e-05,1
2,0.909999,3,2.98247e-05,1
5,0.22,5,0.000284504,0
2,0.919999,3,0.000250954,1
2,0.929999,3,6.39968e-05,1
2,0.939999,3,1.34856e-06,1
5,0.23,1,0.00024971,0
2,0.949999,3,5.99399e-05,1
2,0.959999,3,2.23443e-05,1
2,0.969999,3,3.59938e-05,1
5,0.24,1,0.000110365,0
21,0.02,2,0.00384311,0
2,0.979999,3,0.000140592,1
9,0.09,1,0.000974536,0
2,0.989999,3,6.38366e-05,1
2,0.999999,3,4.41857e-05,1
5,0.25,4,0.000339769,0
3,0.01,1,0.00014241,0
5,0.26,3,9.52296e-05,0
13,0.05,1,0.00114803,0
3,0.02,1,0.000337925,0
5,0.27,2,0.000327636,0
37,0.01,2,0.0089949,0
3,0.03,1,0.000187304,0
3,0.04,1,9.55351e-05,0
5,0.28,2,0.000234116,0
3,0.05,1,1.31838e-05,0
9,0.1,2,0.000876594,0
3,0.06,1,0.000125192,0
17,0.04,2,0.00242827,0
3,0.07,2,0.000117306,0
5,0.29,5,0.000329111,0
9,0.11,1,0.000383202,0
13,0.06,2,0.000853248,0
3,0.08,1,0.000183497,0
25,0.02,1,0.00467042,0
3,0.09,1,0.00016427,0
5,0.3,3,0.000312611,0
5,0.31,4,4.41112e-05,0
3,0.1,1,0.000177342,0
3,0.11,2,0.000184555,0
3,0.12,1,8.53911e-05,0
5,0.32,2,0.000454489,0
3,0.13,1,0.000150815,0
9,0.12,2,0.000857566,0
3,0.14,1,0.00022364,0
5,0.33,2,0.000292439,0
3,0.15,1,9.00775e-05,0
5,0.34,2,0.00021686,0
3,0.16,2,0.000132609,0
3,0.17,2,7.56159e-05,0
13,0.07,2,0.00137672,0
3,0.18,1,0.000113305,0
3,0.19,3,2.42144e-06,0
3,0.2,2,3.22722e-05,0
3,0.21,1,0.000133574,0
5,0.35,4,0.000480011,0
3,0.22,2,0.000133727,0
9,0.13,4,0.000988018,0
3,0.23,1,0.000126109,0
3,0.24,1,5.54137e-05,0
5,0.36,2,0.000227276,0
17,0.05,1,0.00221047,0
3,0.25,2,0.000132307,0
5,0.37,4,0.000184346,0
3,0.26,1,8.66428e-05,0
3,0.27,1,2.54437e-06,0
3,0.28,1,5.18225e-05,0
3,0.29,1,0.000135601,0
3,0.3,2,3.65749e-05,0
3,0.31,3,4.02331e-05,0
5,0.38,8,0.000440583,1
9,0.14,2,0.000759006,0
3,0.32,1,0.000229038,0
3,0.33,2,0.000106927,0
5,0.39,1,0.000184383,0
13,0.08,1,0.00149637,0
21,0.03,2,0.00429177,0
3,0.34,2,0.000177491,0
5,0.4,4,0.000223991,0
3,0.35,5,0.000151146,1
3,0.36,1,8.6531e-05,0
9,0.15,2,0.000645094,0
3,0.37,1,0.000168718,0
5,0.41,5,0.000387352,0
3,0.38,1,0.000297189,0
29,0.02,1,0.00700045,0
9,0.16,2,0.000448838,0
5,0.42,9,0.000314984,1
3,0.39,1,0.000146169,0
25,0.03,2,0.00375331,0
17,0.06,1,0.00185836,0
3,0.4,5,0.000201907,1
45,0.01,2,0.0135649,0
3,0.41,3,8.16733e-05,0
5,0.43,1,0.00046093,0
41,0.01,1,0.0137777,0
9,0.17,1,0.000574652,0
3,0.42,1,0.0001866,0
13,0.09,1,0.00144565,0
3,0.43,1,0.000149664,0
33,0.02,1,0.00720622,0
5,0.44,4,0.000367209,0
3,0.44,2,0.000200056,0
3,0.45,4,9.82434e-05,0
9,0.18,2,0.000517834,0
3,0.46,2,6.59712e-05,0
5,0.45,9,0.000366062,1
3,0.47,2,0.000112265,0
5,0.46,7,6.03832e-05,1
5,0.47,2,5.14276e-05,0
3,0.48,2,0.000139065,0
3,0.49,5,1.375e-05,0
3,0.5,1,0.000119548,0
3,0.51,5,8.2396e-05,1
5,0.48,10,0.000294358,1
3,0.52,5,8.47131e-05,1
3,0.53,4,0.000135679,0
5,0.49,2,0.000186112,0
3,0.54,2,0.0001502,0
9,0.19,5,0.000856508,0
3,0.55,5,3.26522e-05,1
21,0.04,2,0.00284522,0
5,0.5,4,0.000294331,0
3,0.56,5,0.000250511,1
17,0.07,2,0.0022041,0
49,0.01,2,0.0153734,0
13,0.1,2,0.00162346,0
3,0.57,2,7.5575e-05,0
5,0.51,7,0.000179686,1
3,0.58,2,0.000218339,0
5,0.52,3,0.000190485,0
3,0.59,2,0.00011941,0
9,0.2,6,0.000948127,0
3,0.6,4,0.000179246,1
3,0.61,4,3.59677e-05,1
5,0.53,9,0.000319909,1
3,0.62,5,0.000124589,1
3,0.63,5,4.61675e-05,1
9,0.21,3,0.000493515,0
5,0.54,10,0.00025152,1
3,0.64,4,0.000146076,1
25,0.04,2,0.00335119,0
3,0.65,3,7.5154e-05,0
3,0.66,4,7.70092e-05,1
53,0.01,1,0.0168124,0
3,0.67,5,9.87053e-05,1
5,0.55,5,0.000269979,0
3,0.68,3,0.00018679,0
5,0.56,2,0.000187386,0
3,0.69,4,7.16299e-05,1
3,0.7,2,0.000145566,0
13,0.11,3,0.00161012,0
5,0.57,5,0.000249825,0
3,0.71,4,0.000130054,1
9,0.22,2,0.000936661,0
57,0.01,1,0.0175653,0
5,0.58,7,0.000240102,1
3,0.72,4,0.000166547,1
3,0.73,3,8.80957e-05,0
37,0.02,1,0.00870588,0
5,0.59,5,0.000157416,0
3,0.74,5,0.000188045,1
3,0.75,4,2.73809e-06,1
17,0.08,2,0.00226084,0
5,0.6,1,0.00028605,0
3,0.76,5,0.000164028,1
9,0.23,3,0.000574753,0
3,0.77,5,8.11815e-05,1
3,0.78,6,6.09569e-05,1
3,0.79,4,0.000127811,1
3,0.8,4,1.42492e-05,1
5,0.61,6,0.000330608,1
3,0.81,4,0.000134021,1
3,0.82,4,5.5369e-05,1
5,0.62,9,0.000192098,1
13,0.12,2,0.00127543,0
29,0.03,1,0.00543699,0
3,0.83,4,0.000134788,1
9,0.24,2,0.000597894,0
3,0.839999,5,0.000144955,1
5,0.63,8,0.000280775,1
5,0.64,6,0.000210054,0
3,0.849999,4,0.000267491,1
21,0.05,2,0.00349424,0
3,0.859999,4,0.000126757,1
9,0.25,2,0.000549063,0
3,0.869999,4,8.2206e-05,1
5,0.65,9,0.000277136,1
5,0.66,8,0.00012996,1
3,0.879999,5,0.00036699,1
9,0.26,3,0.000477679,0
17,0.09,2,0.00183205,0
5,0.67,3,0.000350647,0
3,0.889999,4,0.000206154,1
3,0.899999,5,0.000113949,1
5,0.68,5,0.000319835,0
3,0.909999,4,0.000154838,1
3,0.919999,5,0.000191275,1
5,0.69,8,0.000309873,1
3,0.929999,4,0.000219233,1
9,0.27,6,0.000870347,0
3,0.939999,4,8.40463e-05,1
3,0.949999,4,1.30683e-05,1
13,0.13,3,0.00212008,0
5,0.7,8,0.000373192,0
3,0.959999,4,0.000198856,1
3,0.969999,4,2.25566e-05,1
3,0.979999,4,5.38267e-05,1
3,0.989999,4,2.19792e-06,1
3,0.999999,4,1.99303e-06,1
33,0.03,2,0.00702166,0
4,0.01,1,8.52048e-05,0
5,0.71,4,0.000245914,0
61,0.01,1,0.0211596,0
4,0.02,1,0.00024832,0
5,0.72,7,0.000290919,1
9,0.28,9,0.000729933,0
5,0.73,7,8.59089e-05,0
4,0.03,1,0.000187922,0
17,0.1,1,0.00169956,0
25,0.05,2,0.00484398,0
4,0.04,1,0.000145636,0
5,0.74,8,0.000254076,1
13,0.14,5,0.00106045,0
4,0.05,2,0.000167262,0
4,0.06,2,0.000115108,0
5,0.75,8,0.000277016,1
21,0.06,1,0.00284127,0
4,0.07,1,0.000165671,0
9,0.29,3,0.000879347,0
5,0.76,8,0.000304691,1
4,0.08,2,0.000238016,0
4,0.09,1,0.000203032,0
5,0.77,7,0.000283297,1
5,0.78,7,0.000161599,1
9,0.3,4,0.000569109,0
4,0.1,1,0.000298191,0
13,0.15,3,0.00114883,0
4,0.11,2,0.000162449,0
5,0.79,8,0.000259411,1
9,0.31,5,0.000327025,0
4,0.12,1,0.000162054,0
5,0.8,8,0.000399601,1
4,0.13,1,0.000273634,0
17,0.11,2,0.00196681,0
5,0.81,11,0.000125498,1
4,0.14,1,0.00018267,0
9,0.32,2,0.000464212,0
5,0.82,7,0.000200931,1
4,0.15,1,0.000139005,0
5,0.83,8,0.000245914,1
4,0.16,1,0.000344574,0
4,0.17,1,6.44028e-05,0
5,0.839999,11,0.000242926,1
21,0.07,1,0.00219685,0
5,0.849999,6,0.000101361,1
9,0.33,2,0.000808176,0
4,0.18,3,0.000277251,0
29,0.04,2,0.00582177,0
5,0.859999,11,0.000223972,1
4,0.19,1,0.000130005,0
5,0.869999,8,0.000136089,1
4,0.2,1,0.000206292,0
5,0.879999,8,0.000148758,1
4,0.21,1,8.56854e-05,0
13,0.16,1,0.00209559,0
5,0.889999,9,0.000198249,1
4,0.22,2,0.000174079,0
9,0.34,2,0.000672024,0
5,0.899999,7,0.000244666,1
17,0.12,2,0.00182813,0
4,0.23,4,0.000272222,0
41,0.02,1,0.0115842,0
4,0.24,1,0.000102412,0
4,0.25,1,5.05671e-05,0
4,0.26,2,0.000132199,0
4,0.27,3,3.19444e-05,0
5,0.909999,7,0.000364672,1
4,0.28,2,2.26907e-05,0
5,0.919999,7,0.000132594,1
45,0.02,2,0.0122015,0
68,0.01,1,0.0258403,0
4,0.29,2,0.000194058,0
9,0.35,4,0.000783093,0
4,0.3,3,0.000146464,0
25,0.06,1,0.00449998,0
5,0.929999,6,0.000269044,1
4,0.31,5,4.66555e-05,0
4,0.32,1,0.000110276,0
4,0.33,1,0.000102393,0
5,0.939999,7,0.000258796,1
13,0.17,2,0.00137375,0
5,0.949999,7,0.000164304,1
4,0.34,4,0.000210989,0
4,0.35,1,0.000114463,0
9,0.36,3,0.00074055,0
5,0.959999,7,0.000162192,1
5,0.969999,6,7.99969e-05,1
4,0.36,3,0.000143651,0
4,0.37,2,0.000166122,0
4,0.38,1,0.000153661,0
5,0.979999,6,0.000366375,1
4,0.39,4,5.82673e-05,0
9,0.37,1,0.000800055,0
5,0.989999,6,0.000331823,1
13,0.18,2,0.00104115,0
4,0.4,3,0.000378404,0
5,0.999999,6,0.000103477,1
33,0.04,2,0.00652734,0
6,0.01,1,5.03212e-05,0
